,일자,"서울가락도매
평균가격 (원/kg)"
0,20220101,0.0
1,20220102,0.0
2,20220103,430.0
3,20220104,420.0
4,20220105,380.0
5,20220106,360.0
6,20220107,360.0
7,20220108,400.0
8,20220109,430.0
9,20220110,460.0
10,20220111,460.0
11,20220112,460.0
12,20220113,450.0
13,20220114,450.0
14,20220115,470.0
15,20220116,490.0
16,20220117,460.0
17,20220118,440.0
18,20220119,400.0
19,20220120,380.0
20,20220121,380.0
21,20220122,400.0
22,20220123,440.0
23,20220124,480.0
24,20220125,480.0
25,20220126,500.0
26,20220127,520.0
27,20220128,480.0
28,20220129,410.0
29,20220130,370.0
30,20220131,0.0
31,20220201,0.0
32,20220202,0.0
33,20220203,0.0
34,20220204,460.0
35,20220205,500.0
36,20220206,540.0
37,20220207,590.0
38,20220208,560.0
39,20220209,500.0
40,20220210,460.0
41,20220211,480.0
42,20220212,520.0
43,20220213,530.0
44,20220214,570.0
45,20220215,560.0
46,20220216,530.0
47,20220217,470.0
48,20220218,440.0
49,20220219,420.0
50,20220220,400.0
51,20220221,480.0
52,20220222,500.0
53,20220223,540.0
54,20220224,560.0
55,20220225,550.0
56,20220226,680.0
57,20220227,810.0
58,20220228,810.0
59,20220301,740.0
60,20220302,700.0
61,20220303,760.0
62,20220304,850.0
63,20220305,810.0
64,20220306,720.0
65,20220307,840.0
66,20220308,800.0
67,20220309,790.0
68,20220310,760.0
69,20220311,740.0
70,20220312,780.0
71,20220313,770.0
72,20220314,830.0
73,20220315,780.0
74,20220316,760.0
75,20220317,780.0
76,20220318,760.0
77,20220319,710.0
78,20220320,670.0
79,20220321,730.0
80,20220322,740.0
81,20220323,750.0
82,20220324,740.0
83,20220325,880.0
84,20220326,1030.0
85,20220327,1050.0
86,20220328,890.0
87,20220329,920.0
88,20220330,920.0
89,20220331,880.0
90,20220401,820.0
91,20220402,760.0
92,20220403,760.0
93,20220404,920.0
94,20220405,1000.0
95,20220406,1100.0
96,20220407,1080.0
97,20220408,1040.0
98,20220409,920.0
99,20220410,780.0
100,20220411,950.0
101,20220412,1080.0
102,20220413,1080.0
103,20220414,880.0
104,20220415,890.0
105,20220416,920.0
106,20220417,870.0
107,20220418,1010.0
108,20220419,1010.0
109,20220420,1010.0
110,20220421,920.0
111,20220422,820.0
112,20220423,860.0
113,20220424,900.0
114,20220425,960.0
115,20220426,970.0
116,20220427,1060.0
117,20220428,1180.0
118,20220429,1420.0
119,20220430,1520.0
120,20220501,1440.0
121,20220502,1470.0
122,20220503,1300.0
123,20220504,1000.0
124,20220505,760.0
125,20220506,640.0
126,20220507,620.0
127,20220508,620.0
128,20220509,1170.0
129,20220510,990.0
130,20220511,820.0
131,20220512,880.0
132,20220513,920.0
133,20220514,940.0
134,20220515,950.0
135,20220516,1080.0
136,20220517,1060.0
137,20220518,1040.0
138,20220519,1110.0
139,20220520,1160.0
140,20220521,1120.0
141,20220522,1110.0
142,20220523,890.0
143,20220524,860.0
144,20220525,720.0
145,20220526,580.0
146,20220527,680.0
147,20220528,770.0
148,20220529,750.0
149,20220530,660.0
150,20220531,540.0
151,20220601,440.0
152,20220602,480.0
153,20220603,500.0
154,20220604,540.0
155,20220605,600.0
156,20220606,800.0
157,20220607,670.0
158,20220608,530.0
159,20220609,520.0
160,20220610,540.0
161,20220611,540.0
162,20220612,540.0
163,20220613,4540.0
164,20220614,2500.0
165,20220615,460.0
166,20220616,420.0
167,20220617,480.0
168,20220618,640.0
169,20220619,730.0
170,20220620,540.0
171,20220621,550.0
172,20220622,540.0
173,20220623,500.0
174,20220624,460.0
175,20220625,740.0
176,20220626,1030.0
177,20220627,840.0
178,20220628,720.0
179,20220629,580.0
180,20220630,680.0
181,20220701,640.0
182,20220702,560.0
183,20220703,620.0
184,20220704,700.0
185,20220705,640.0
186,20220706,540.0
187,20220707,580.0
188,20220708,680.0
189,20220709,1000.0
190,20220710,1320.0
191,20220711,1290.0
192,20220712,1080.0
193,20220713,840.0
194,20220714,980.0
195,20220715,1030.0
196,20220716,850.0
197,20220717,790.0
198,20220718,970.0
199,20220719,850.0
200,20220720,740.0
201,20220721,760.0
202,20220722,720.0
203,20220723,760.0
204,20220724,860.0
205,20220725,710.0
206,20220726,600.0
207,20220727,460.0
208,20220728,600.0
209,20220729,740.0
210,20220730,680.0
211,20220731,670.0
212,20220801,670.0
213,20220802,770.0
214,20220803,760.0
215,20220804,660.0
216,20220805,900.0
217,20220806,1110.0
218,20220807,0.0
219,20220808,760.0
220,20220809,800.0
221,20220810,1020.0
222,20220811,1060.0
223,20220812,880.0
224,20220813,840.0
225,20220814,840.0
226,20220815,720.0
227,20220816,690.0
228,20220817,580.0
229,20220818,530.0
230,20220819,660.0
231,20220820,760.0
232,20220821,760.0
233,20220822,630.0
234,20220823,640.0
235,20220824,600.0
236,20220825,560.0
237,20220826,560.0
238,20220827,550.0
239,20220828,560.0
240,20220829,680.0
241,20220830,680.0
242,20220831,600.0
243,20220901,970.0
244,20220902,1270.0
245,20220903,1100.0
246,20220904,1070.0
247,20220905,1060.0
248,20220906,940.0
249,20220907,840.0
250,20220908,1200.0
