일자,"서울가락도매
평균가격 (원/kg)","대전오정도매
평균가격 (원/kg)","서울강서도매
평균가격 (원/kg)","대구북부도매
평균가격 (원/kg)","대전노은도매
평균가격 (원/kg)","부산반여도매
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,430,340,390,430,490,370
20220104,420,340,360,420,450,380
20220105,380,290,340,400,370,350
20220106,360,250,340,410,300,320
20220107,360,250,320,380,260,280
20220108,400,280,350,360,280,280
20220109,430,310,360,370,300,320
20220110,460,260,330,350,250,340
20220111,460,280,330,340,240,340
20220112,460,270,380,320,260,340
20220113,450,280,440,340,260,350
20220114,450,370,400,340,270,340
20220115,470,430,320,340,370,330
20220116,490,420,310,340,440,330
20220117,460,440,370,350,470,330
20220118,440,420,340,340,460,310
20220119,400,380,300,340,380,310
20220120,380,350,300,350,380,320
20220121,380,330,310,320,390,320
20220122,400,340,370,310,330,320
20220123,440,350,420,320,310,310
20220124,480,390,420,330,400,290
20220125,480,400,440,340,400,300
20220126,500,440,470,340,420,340
20220127,520,440,490,340,460,350
20220128,480,460,510,380,460,420
20220129,410,460,550,420,440,460
20220130,370,450,570,420,470,400
20220131,,,,,3770,350
20220201,,,,,3770,350
20220202,,,,,,
20220203,,,,440,,
20220204,460,500,530,440,580,
20220205,500,500,500,430,560,380
20220206,540,500,480,420,550,380
20220207,590,440,460,420,560,400
20220208,560,410,440,420,520,400
20220209,500,370,420,420,460,380
20220210,460,370,410,400,400,340
20220211,480,360,380,400,360,320
20220212,520,350,360,400,340,320
20220213,530,360,360,380,300,310
20220214,570,380,380,400,430,330
20220215,560,400,350,380,400,310
20220216,530,420,360,370,360,300
20220217,470,420,400,360,380,320
20220218,440,380,390,350,410,330
20220219,420,340,380,380,400,320
20220220,400,350,380,410,370,320
20220221,480,520,500,410,410,330
20220222,500,470,540,400,400,360
20220223,540,460,540,460,410,420
20220224,560,460,500,490,420,400
20220225,550,440,470,480,420,380
20220226,680,490,440,480,480,480
20220227,810,520,460,470,520,540
20220228,810,580,510,610,430,700
20220301,740,560,510,620,470,750
20220302,700,610,490,580,510,770
20220303,760,740,540,590,580,740
20220304,850,750,650,680,620,710
20220305,810,700,740,700,620,760
20220306,720,710,800,690,640,830
20220307,840,690,720,690,590,720
20220308,800,650,670,680,580,720
20220309,790,580,640,660,560,680
20220310,760,570,600,640,590,620
20220311,740,600,540,620,580,610
20220312,780,560,540,600,600,580
20220313,770,520,560,600,660,550
20220314,830,630,500,570,710,570
20220315,780,600,540,560,660,600
20220316,760,550,560,550,640,640
20220317,780,540,560,600,620,600
20220318,760,580,600,620,640,580
20220319,710,620,590,580,710,570
20220320,670,620,550,570,740,560
20220321,730,630,590,580,680,540
20220322,740,640,640,570,640,580
20220323,750,640,640,600,620,640
20220324,740,660,600,640,630,600
20220325,880,700,680,590,620,560
20220326,1030,720,780,620,660,580
20220327,1050,740,790,680,710,560
20220328,890,730,750,710,710,640
20220329,920,720,760,700,700,640
20220330,920,680,760,700,720,650
20220331,880,640,720,660,710,660
20220401,820,640,640,620,660,740
20220402,760,600,580,620,670,770
20220403,760,580,570,620,700,700
20220404,920,670,580,640,670,590
20220405,1000,700,640,660,680,600
20220406,1100,760,740,700,680,600
20220407,1080,780,790,730,720,620
20220408,1040,820,790,780,800,620
20220409,920,780,760,770,820,600
20220410,780,690,750,730,830,590
20220411,950,800,780,700,930,650
20220412,1080,820,840,700,920,680
20220413,1080,880,850,710,890,660
20220414,880,860,800,740,820,650
20220415,890,800,780,740,780,650
20220416,920,800,770,760,800,700
20220417,870,810,780,800,830,790
20220418,1010,790,830,680,710,700
20220419,1010,800,820,660,780,780
20220420,1010,860,840,680,820,840
20220421,920,840,780,740,790,820
20220422,820,730,690,720,740,760
20220423,860,730,730,700,730,700
20220424,900,780,790,720,770,710
20220425,960,790,700,800,710,680
20220426,970,790,720,740,770,700
