,평균,평년,서울,부산,대구,광주,대전
2009/01/02,4900,4533,6000,5000,4000,4500,5000
2009/01/05,4900,4583,5000,5000,5000,4500,5000
2009/01/06,4700,4547,4500,5000,5000,4000,5000
2009/01/07,4300,4507,4000,4500,4000,4000,5000
2009/01/08,4100,4484,4000,4500,3500,4000,4500
2009/01/09,4200,4434,4000,4500,4000,4000,4500
2009/01/12,4200,4311,4000,4500,4000,4000,4500
2009/01/13,4200,4311,4000,4500,4000,4000,4500
2009/01/14,4200,4301,4000,4500,4000,4000,4500
2009/01/15,4200,4316,4000,4500,4000,4000,4500
2009/01/16,4200,4351,4000,4500,4000,4000,4500
2009/01/19,4400,4411,5000,4500,4000,4000,4500
2009/01/20,4500,4417,5000,5000,4000,4000,4500
2009/01/21,4600,4436,5000,5000,4000,4000,5000
2009/01/22,4600,4444,5000,5000,4000,4000,5000
2009/01/23,4600,4424,5000,5000,4000,4000,5000
2009/01/28,4600,4399,5000,5000,4000,4000,5000
2009/01/29,4600,4407,5000,5000,4000,4000,5000
2009/01/30,4400,4391,4000,5000,4000,4000,5000
2009/02/02,4500,4360,4500,5000,4000,4000,5000
2009/02/03,4700,4357,5500,5000,4000,4000,5000
2009/02/04,4800,4370,6000,5000,4000,4000,5000
2009/02/05,4700,4380,5500,5000,4000,4500,4500
2009/02/06,4600,4415,5000,5000,4000,4500,4500
2009/02/09,4800,4498,5500,5000,4000,4500,5000
2009/02/10,4800,4520,5500,5000,4000,4500,5000
2009/02/11,4700,4554,5000,5000,4000,4500,5000
2009/02/12,4500,4584,5000,5000,4000,4000,4500
2009/02/13,4500,4614,5000,5000,4000,4000,4500
2009/02/16,4400,4557,5000,4500,4000,4000,4500
2009/02/17,4400,4553,5000,4500,4000,4000,4500
2009/02/18,4400,4575,5000,4500,4000,4000,4500
2009/02/19,4300,4603,4500,4500,4000,4000,4500
2009/02/20,4300,4637,4500,4500,4000,4000,4500
2009/02/23,5500,4663,6000,6000,5000,5500,5000
2009/02/24,5800,4646,6000,6000,5500,5500,6000
2009/02/25,5900,4646,6500,6000,5500,5500,6000
2009/02/26,6200,4630,6500,6000,6000,6000,6500
2009/02/27,6200,4609,6500,6000,6000,6000,6500
2009/03/02,6000,4592,6000,6000,6000,6000,6000
2009/03/03,6100,4583,6500,6000,6000,6000,6000
2009/03/04,5800,4597,6000,5500,5500,5500,6500
2009/03/05,5600,4622,6000,5500,5000,5000,6500
2009/03/06,5700,4628,6000,6000,5000,5000,6500
2009/03/09,5500,4584,5500,6000,5000,5000,6000
2009/03/10,5600,4525,6000,6000,5000,5000,6000
2009/03/11,5500,4493,6000,6000,5000,5000,5500
2009/03/12,5300,4486,5000,6000,5000,5000,5500
