,일자,"서울가락도매
평균가격 (원/kg)"
0,20220101,0.0
1,20220102,0.0
2,20220103,940.0
3,20220104,840.0
4,20220105,730.0
5,20220106,660.0
6,20220107,620.0
7,20220108,660.0
8,20220109,700.0
9,20220110,720.0
10,20220111,740.0
11,20220112,720.0
12,20220113,660.0
13,20220114,650.0
14,20220115,690.0
15,20220116,750.0
16,20220117,680.0
17,20220118,680.0
18,20220119,710.0
19,20220120,700.0
20,20220121,700.0
21,20220122,820.0
22,20220123,900.0
23,20220124,700.0
24,20220125,740.0
25,20220126,720.0
26,20220127,680.0
27,20220128,700.0
28,20220129,770.0
29,20220130,830.0
30,20220131,0.0
31,20220201,0.0
32,20220202,0.0
33,20220203,0.0
34,20220204,740.0
35,20220205,800.0
36,20220206,850.0
37,20220207,760.0
38,20220208,800.0
39,20220209,900.0
40,20220210,860.0
41,20220211,780.0
42,20220212,780.0
43,20220213,760.0
44,20220214,790.0
45,20220215,780.0
46,20220216,780.0
47,20220217,780.0
48,20220218,720.0
49,20220219,770.0
50,20220220,840.0
51,20220221,730.0
52,20220222,800.0
53,20220223,800.0
54,20220224,760.0
55,20220225,810.0
56,20220226,800.0
57,20220227,780.0
58,20220228,740.0
59,20220301,780.0
60,20220302,850.0
61,20220303,840.0
62,20220304,820.0
63,20220305,820.0
64,20220306,780.0
65,20220307,770.0
66,20220308,760.0
67,20220309,750.0
68,20220310,810.0
69,20220311,880.0
70,20220312,860.0
71,20220313,850.0
72,20220314,900.0
73,20220315,850.0
74,20220316,810.0
75,20220317,820.0
76,20220318,840.0
77,20220319,840.0
78,20220320,850.0
79,20220321,940.0
80,20220322,920.0
81,20220323,880.0
82,20220324,860.0
83,20220325,900.0
84,20220326,940.0
85,20220327,940.0
86,20220328,910.0
87,20220329,920.0
88,20220330,940.0
89,20220331,960.0
90,20220401,930.0
91,20220402,960.0
92,20220403,1000.0
93,20220404,960.0
94,20220405,960.0
95,20220406,920.0
96,20220407,910.0
97,20220408,920.0
98,20220409,900.0
99,20220410,890.0
100,20220411,890.0
101,20220412,880.0
102,20220413,880.0
103,20220414,870.0
104,20220415,910.0
105,20220416,960.0
106,20220417,960.0
107,20220418,900.0
108,20220419,940.0
109,20220420,1000.0
110,20220421,970.0
111,20220422,940.0
112,20220423,930.0
113,20220424,910.0
114,20220425,950.0
115,20220426,920.0
116,20220427,940.0
117,20220428,920.0
118,20220429,850.0
119,20220430,870.0
120,20220501,900.0
121,20220502,880.0
122,20220503,860.0
123,20220504,820.0
124,20220505,820.0
125,20220506,910.0
126,20220507,940.0
127,20220508,910.0
128,20220509,860.0
129,20220510,860.0
130,20220511,850.0
131,20220512,840.0
132,20220513,830.0
133,20220514,870.0
134,20220515,910.0
135,20220516,800.0
136,20220517,780.0
137,20220518,760.0
138,20220519,740.0
139,20220520,720.0
140,20220521,640.0
141,20220522,580.0
142,20220523,560.0
143,20220524,580.0
144,20220525,620.0
145,20220526,620.0
146,20220527,600.0
147,20220528,610.0
148,20220529,620.0
149,20220530,640.0
150,20220531,700.0
151,20220601,740.0
152,20220602,730.0
153,20220603,760.0
154,20220604,780.0
155,20220605,780.0
156,20220606,750.0
157,20220607,780.0
158,20220608,780.0
159,20220609,720.0
160,20220610,640.0
161,20220611,580.0
162,20220612,550.0
163,20220613,6780.0
164,20220614,3800.0
165,20220615,780.0
166,20220616,760.0
167,20220617,700.0
168,20220618,620.0
169,20220619,620.0
170,20220620,780.0
171,20220621,760.0
172,20220622,770.0
173,20220623,800.0
174,20220624,780.0
175,20220625,800.0
176,20220626,850.0
177,20220627,650.0
178,20220628,660.0
179,20220629,640.0
180,20220630,780.0
181,20220701,900.0
182,20220702,840.0
183,20220703,810.0
184,20220704,710.0
185,20220705,780.0
186,20220706,830.0
187,20220707,900.0
188,20220708,860.0
189,20220709,910.0
190,20220710,1080.0
191,20220711,850.0
192,20220712,990.0
193,20220713,1040.0
194,20220714,1100.0
195,20220715,1130.0
196,20220716,1070.0
197,20220717,1140.0
198,20220718,1370.0
199,20220719,1260.0
200,20220720,1180.0
201,20220721,1160.0
202,20220722,1260.0
203,20220723,1640.0
204,20220724,1860.0
205,20220725,1250.0
206,20220726,1340.0
207,20220727,1300.0
208,20220728,1220.0
209,20220729,1190.0
210,20220730,1020.0
211,20220731,960.0
212,20220801,1180.0
213,20220802,1120.0
214,20220803,1020.0
215,20220804,1060.0
216,20220805,1150.0
217,20220806,1150.0
218,20220807,0.0
219,20220808,900.0
220,20220809,860.0
221,20220810,960.0
222,20220811,1030.0
223,20220812,910.0
224,20220813,970.0
225,20220814,1090.0
226,20220815,930.0
227,20220816,940.0
228,20220817,1020.0
229,20220818,1010.0
230,20220819,1030.0
231,20220820,1150.0
232,20220821,1180.0
233,20220822,1010.0
234,20220823,1130.0
235,20220824,1180.0
236,20220825,1100.0
237,20220826,1150.0
238,20220827,1180.0
239,20220828,1150.0
240,20220829,1530.0
241,20220830,1410.0
242,20220831,1360.0
243,20220901,1470.0
244,20220902,1500.0
245,20220903,1570.0
246,20220904,1650.0
247,20220905,1790.0
248,20220906,1780.0
249,20220907,1710.0
