구분,,01/02,01/05,01/06,01/07,01/08,01/09,01/12,01/13,01/14,01/15,01/16,01/19,01/20,01/21,01/22,01/23,01/28,01/29,01/30,02/02,02/03,02/04,02/05,02/06,02/09,02/10,02/11,02/12,02/13,02/16,02/17,02/18,02/19,02/20,02/23,02/24,02/25,02/26,02/27,03/02,03/03,03/04,03/05,03/06,03/09,03/10,03/11,03/12,03/13,03/16,03/17,03/18,03/19,03/20,03/23,03/24,03/25,03/26,03/27,03/30,03/31,04/01,04/02,04/03,04/06,04/07,04/08,04/09,04/10,04/13,04/14,04/15,04/16,04/17,04/20,04/21,04/22,04/23,04/24,04/27,04/28,04/29,04/30,05/04,05/06,05/07,05/08,05/11,05/12,05/13,05/14,05/15,05/18,05/19,05/20,05/21,05/22,05/25,05/26,05/27,05/28,05/29,06/01,06/02,06/03,06/04,06/05,06/08,06/09,06/10,06/11,06/12,06/15,06/16,06/17,06/18,06/19,06/22,06/23,06/24,06/25,06/26,06/29,06/30,07/01,07/02,07/03,07/06,07/07,07/08,07/09,07/10,07/13,07/14,07/15,07/16,07/17,07/20,07/21,07/22,07/23,07/24,07/27,07/28,07/29,07/30,07/31,08/03,08/04,08/05,08/06,08/07,08/10,08/11,08/12,08/13,08/14,08/17,08/18,08/19,08/20,08/21,08/24,08/25,08/26,08/27,08/28,08/31,09/01,09/02,09/03,09/04,09/07,09/08,09/09,09/10,09/11,09/14,09/15,09/16,09/17,09/18,09/21,09/22,09/23,09/24,09/25,09/28,09/29,09/30,10/01,10/05,10/06,10/07,10/08,10/09,10/12,10/13,10/14,10/15,10/16,10/19,10/20,10/21,10/22,10/23,10/26,10/27,10/28,10/29,10/30,11/02,11/03,11/04,11/05,11/06,11/09,11/10,11/11,11/12,11/13,11/16,11/17,11/18,11/19,11/20,11/23,11/24,11/25,11/26,11/27,11/30,12/02,12/03,12/04,12/07,12/08,12/09,12/10,12/11,12/14,12/15,12/16,12/17,12/18,12/21,12/22,12/23,12/24,12/28,12/29,12/30,12/31
평균,,4060,4060,3960,3960,3900,3900,4000,4100,4000,4063,4000,3950,3950,3800,3800,3700,3700,3700,3700,3700,3700,3740,3700,3860,3800,3700,3700,3660,3800,3800,3960,3960,4060,4000,4200,4200,4300,4600,4760,5100,5400,5900,5900,6000,6000,6000,5900,5800,5900,6100,6000,6100,6200,6700,6600,6500,6700,6700,7000,7200,7500,7500,8300,8700,9040,9500,9700,9800,10000,11000,11400,12000,12100,12100,12300,12300,12400,12600,13000,14600,15000,15200,15600,14200,14700,14900,14900,13200,13000,13000,12000,10000,8400,7800,7200,7000,7000,7100,6500,6200,6200,5600,5400,5200,5400,5300,5000,5000,5000,4700,4500,4000,3900,3600,3400,3500,3600,4000,3940,3800,3600,3500,3800,3800,4200,4300,4300,4200,4200,4200,4400,4700,4700,4700,4600,4450,4350,4650,4650,4800,5100,5400,6000,5800,5600,6000,6700,6600,6300,6200,6500,6800,7100,7300,7000,6900,6800,7000,7100,6800,6900,6900,6800,6900,6500,6600,7300,7500,7200,6600,6400,6600,7100,7200,7100,6800,6700,6800,6800,6800,6800,6700,6800,7000,7100,7000,7000,6900,7000,6400,6100,6000,5800,5700,5300,5000,4500,4000,4000,4000,3800,3800,4000,4000,4000,3900,3900,3800,3500,3300,3100,3300,3300,3400,3400,3000,3000,2900,3100,3200,3470,4020,3750,3550,3550,3760,4000,3900,3760,3900,3940,3860,3600,3700,3820,3820,3720,3420,3400,3400,3600,3600,3600,3500,3400,3400,3400,3600,3600,3700,3900,4300,4100
평년,,4060,5007,4952,4893,4835,4762,4539,4048,3918,3887,3863,3732,3712,3659,3667,3652,3609,3532,3518,3832,3216,3229,3164,3175,3183,3184,3153,3025,2994,2996,3003,3014,3078,3077,3084,3105,3126,3136,3160,3220,3253,3291,3317,3340,3398,3427,3454,3488,3519,3552,3562,3566,3588,3620,3797,3919,4016,4115,4196,4327,4390,4599,4677,4392,4417,4419,4419,4459,4493,5114,5099,5077,5056,5028,4586,4562,4523,4363,4029,3882,3812,3781,3680,3714,3709,3683,3672,3475,3469,3462,3466,3481,3474,3453,3436,3416,3349,3289,3285,3232,3186,3120,2943,2939,2899,2915,2982,2989,3007,3027,3062,3097,3209,3297,3368,3496,3660,3907,3869,3759,3693,3670,3704,3760,3808,3851,3878,4011,4126,4187,4185,4187,4557,4731,5726,5788,5063,5446,5490,5349,5414,5446,5307,5391,5477,5369,5699,6357,6485,6590,6658,6743,6813,6804,6817,6811,6864,7206,7404,7461,7470,7615,8099,8228,8292,8364,8393,8753,8801,8844,8886,8950,9315,9331,9239,9183,9207,9405,9271,9153,9085,9053,8959,8785,8642,8535,8460,7789,7677,7540,7401,6608,8097,8097,8094,8067,7894,7910,7948,8014,8053,8122,8081,8072,8063,8066,6000,5361,5251,5179,5160,4582,4612,4624,4675,4827,4831,4723,4651,4003,3994,3797,3833,4215,4307,4392,4659,4717,4747,4731,4695,4770,4816,4814,4791,4797,4777,4767,4751,4687,4554,4507,4465,4418,4375,4277,4292,4320,4322,4279,4265,4276,4307
서울,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,13000,13000,13000,12000,13000,13000,13000,12000,8000,8000,7000,7000,7000,7000,7000,7000,6000,7000,7000,6000,6000,6000,5500,5000,5000,5000,5000,5000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3500,4000,4500,4000,3500,3500,4000,4000,4500,5000,5000,5000,4500,4500,4000,4500,4500,4500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,5000,4500,4000,4500,4500,4500,5000,5000,5000,6500,5500,5500,6500,6500,6500,5500,5500,6500,7500,7000,7000,7000,7500,8000,7000,8000,8000,8000,7000,6000,7000,7000,8000,8000,7500,7500,6500,6500,7000,8000,7500,7000,7000,7000,7500,7500,7500,7500,7000,7000,7000,7000,7000,7000,7000,7000,6000,6000,6000,6000,6000,5500,5000,5000,4000,4000,4500,4000,4000,4000,4000,4000,4000,4000,4000,3500,3500,3500,3500,3000,3000,3000,3000,3000,3000,3500,4000,4500,4700,4000,3500,3500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,4500,4500,4000,4000,4000,4000,4500,4500,4000,4000,4000,4000,4000,4500,4500,4000,4000,4000,4000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,4700,5000,4000,3500,3500,3800,4000,3500,3300,3500,4200,3800,3500,4000,4500,4000,4000,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,4000,4000,6000,4500
,월동,-0,-0,-0,-0,-0,-0,-0,-0,-0,4000,4000,4000,4000,4500,4500,4000,4000,4000,4000,4000,4000,4200,4000,3800,4000,4000,4000,3800,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5300,5500,5500,6000,6000,6000,6000,6000,6000,6000,6000,6500,6000,6000,6000,6500,6000,6000,7000,7000,8000,8000,9000,9000,10000,10000,10000,10000,10000,10000,10000,12000,12000,13000,12500,12500,13500,13500,14000,14000,15000,16000,17000,17000,17000,17000,19000,19000,19000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
부산,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,13000,13000,13000,13000,13000,13000,13000,11000,10000,7000,7000,7000,7000,7000,6500,6000,6000,6000,5000,5000,5000,5000,5000,5000,5000,5000,4500,4500,4000,3500,3500,3000,3000,3000,4000,3700,3500,3500,3500,3500,4000,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,4500,5000,5000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,5000,5000,5000,4000,5000,5000,5000,5000,5000,5500,5500,5500,6000,6500,6500,6500,6500,7000,7000,7000,8000,7000,7000,7000,7000,6500,6500,6500,6500,7000,7000,6000,6000,7000,7500,7000,6000,6000,6000,6500,7000,7000,6000,6000,6000,6000,6000,6000,6000,6500,7000,7000,7500,7500,7500,7000,6000,6000,6000,6000,6000,5500,5000,4500,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3500,3500,3000,3500,3500,3500,3500,3000,3000,3000,3000,3000,3500,4500,4500,4000,4000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,4000,4000,4000,4000,4000,4000,4000,4000,4000,4500,4500,4500,4500,4000,4000,4000,4000,4000,4000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,3500,4500,4500,4000,4000,4000,4500,4500,4500,4500,4500,4500,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3500,3500,3500,3500,3500,3500,4000,4000,4000
,월동,-0,-0,-0,-0,-0,-0,-0,-0,-0,4000,4000,4000,4000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4000,4000,3500,3500,3500,3500,3500,4000,4000,4000,4000,4000,4000,4000,4500,4500,5000,5500,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,7000,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,9000,9000,9000,9000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,14000,14000,14000,15000,15000,17000,17000,17000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
