구분,,01/02,01/03,01/04,01/05,01/06,01/09,01/10,01/11,01/12,01/13,01/16,01/17,01/18,01/19,01/20,01/25,01/26,01/27,01/30,01/31,02/01,02/02,02/03,02/06,02/07,02/08,02/09,02/10,02/13,02/14,02/15,02/16,02/17,02/20,02/21,02/22,02/23,02/24,02/27,02/28,02/29,03/02,03/05,03/06,03/07,03/08,03/09,03/12,03/13,03/14,03/15,03/16,03/19,03/20,03/21,03/22,03/23,03/26,03/27,03/28,03/29,03/30,04/02,04/03,04/04,04/05,04/06,04/09,04/10,04/12,04/13,04/16,04/17,04/18,04/19,04/20,04/23,04/24,04/25,04/26,04/27,04/30,05/02,05/03,05/04,05/07,05/08,05/09,05/10,05/11,05/14,05/15,05/16,05/17,05/18,05/21,05/22,05/23,05/24,05/25,05/29,05/30,05/31,06/01,06/04,06/05,06/07,06/08,06/11,06/12,06/13,06/14,06/15,06/18,06/19,06/20,06/21,06/22,06/25,06/26,06/27,06/28,06/29,07/02,07/03,07/04,07/05,07/06,07/09,07/10,07/11,07/12,07/13,07/16,07/17,07/18,07/19,07/20,07/23,07/24,07/25,07/26,07/27,07/30,07/31,08/01,08/02,08/03,08/06,08/07,08/08,08/09,08/10,08/13,08/14,08/16,08/17,08/20,08/21,08/22,08/23,08/24,08/27,08/28,08/29,08/30,08/31,09/03,09/04,09/05,09/06,09/07,09/10,09/11,09/12,09/13,09/14,09/17,09/18,09/19,09/20,09/21,09/24,09/25,09/26,09/27,09/28,10/02,10/04,10/05,10/08,10/09,10/10,10/11,10/12,10/15,10/16,10/17,10/18,10/19,10/22,10/23,10/24,10/25,10/26,10/29,10/30,10/31,11/01,11/02,11/05,11/06,11/07,11/08,11/09,11/12,11/13,11/14,11/15,11/16,11/19,11/20,11/21,11/22,11/23,11/26,11/27,11/28,11/29,11/30,12/03,12/04,12/05,12/06,12/07,12/10,12/11,12/12,12/13,12/14,12/17,12/18,12/20,12/21,12/24,12/26,12/27,12/28,12/31
평균,,3100,3100,3200,3800,3800,3800,3800,3800,3800,3800,3700,3200,3200,3200,3200,3200,3500,3700,3500,3600,3560,3740,3840,4100,4100,4800,4900,4900,4900,4800,4800,4900,5200,5500,5700,6300,6300,6700,6900,7100,7100,7560,7800,8400,8900,9400,9100,8800,8640,9140,8940,8940,8940,8940,9800,9800,10000,9900,10100,10100,10100,10100,10800,11000,11200,11200,11600,11800,12300,12400,12500,12500,12600,12550,12550,12550,12600,12600,12600,12600,12650,12200,11600,11150,10700,10100,10000,9800,9650,6400,6300,6300,6300,6300,6300,5800,5700,5400,5100,5100,4900,4800,4800,4800,4800,4700,4500,4800,4300,4000,4000,4000,3920,3920,4200,4200,4200,4200,5220,5700,6800,8100,8000,8900,9800,9400,9200,9000,8600,8000,8000,8000,7600,7500,7500,7400,7400,7200,7100,7000,7200,7200,7600,7600,7600,7100,7100,7300,7800,7800,8100,7900,8200,9700,9300,9900,9900,9500,9500,9500,9500,9500,9600,10200,10400,10400,10200,11000,11400,11400,11200,11600,11800,12000,11900,11900,12200,13200,13600,13800,14000,14200,14400,14200,14000,14000,14000,14000,13200,13600,13200,12000,11000,10400,10400,10200,9800,9200,9200,9200,8500,8500,8000,8000,8000,7800,7400,7400,7400,7400,7200,7200,7100,7000,7700,7700,7300,7300,7300,7700,8100,8000,8000,8100,8300,8800,9000,9000,9000,9200,9300,9300,9300,10200,10600,11300,11300,11300,11100,11300,11200,11200,10800,10800,11300,10900,10900,11200,12200
평년,,4319,4282,4258,8864,8921,8773,7384,7261,7192,7260,7324,5375,5575,5592,5425,4808,4633,4634,4930,4915,4990,5070,5145,5614,5593,5566,5560,5609,5592,5599,5603,5627,5720,5879,5857,5826,5856,5905,6146,6207,4548,6327,6708,6770,6767,6777,6805,6872,6890,6907,6945,6968,7377,7459,7509,7620,7807,8120,8259,8327,8272,8245,8742,8887,8942,8873,8861,8868,8985,8778,8675,8415,8451,8360,8173,6210,6067,5917,5873,5789,5675,5460,5422,5374,5336,5680,5650,5721,5690,5620,4532,4577,4571,4614,4632,4303,4157,4118,4113,4067,3660,3356,3398,3803,3854,3874,3867,3846,3707,3613,3589,3612,3608,3751,3875,4105,4271,4342,4272,4298,4223,4253,4321,4567,4638,4699,4689,4721,4951,4945,5233,5356,5473,5350,5240,5331,5701,6679,7031,7070,7113,7266,7554,7432,7425,7445,7393,7319,7395,7453,7482,7493,7572,7647,7647,7640,7550,7267,7221,7270,7377,7427,7779,7871,7952,8053,8079,8554,8630,8719,8756,8865,8934,8987,9079,9215,9201,8851,8945,8882,8648,8500,8225,8225,8152,7958,7713,7002,6892,6873,6637,6611,6605,6645,6649,6591,6604,6637,6687,6711,6391,6299,6265,6109,5881,5262,5236,5199,5161,5044,4938,4864,6568,6393,6211,5292,5340,5581,5577,5710,5376,5494,5589,5670,5669,5576,5435,5310,5210,5110,5007,4949,4923,4902,4877,4735,4678,4620,4588,4554,4433,4392,4371,4339,4437,4427,4410,4432,4241
서울,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11500,11500,11000,9000,8000,8000,7000,6500,6500,6500,6500,6500,6500,6500,5500,5500,5500,5500,5500,5000,5000,5000,5000,5000,5000,5000,5000,4500,4000,4000,4000,4000,4000,4000,4000,4000,4000,5000,6000,7000,8000,8000,9000,9000,9000,9000,9000,9000,8000,8000,8000,8000,8000,8000,8000,8000,8000,7500,7500,7500,7500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,8000,8000,8000,8000,8000,9000,9000,9000,9000,9000,9000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,12000,12000,12000,12000,12000,13000,13000,14000,15000,15000,16000,15000,15000,15000,15000,15000,15000,15000,13000,12000,12000,12000,12000,11000,11000,10000,10000,10000,9000,9000,8000,8000,8000,8000,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,3500,3500,3500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7000,7000,7000,7000,8000,8000,8000,8000,8000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,13000,12000,12000,12000,13000
,월동,-0,-0,-0,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,4000,4000,4000,5000,5000,4000,4000,4000,4000,4500,5000,5000,5500,6000,6000,6000,6000,6000,6000,6500,7000,7000,7500,7500,7500,7500,7500,7500,7500,8500,8500,8500,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,10000,10500,11000,11000,11500,12000,12500,13000,13000,13000,13500,14000,14000,14000,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
부산,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11000,10000,9000,8500,7500,7000,7000,6500,6500,6000,6000,6000,6000,6000,5500,5500,5000,5000,5000,5000,5000,5000,5000,5000,5000,4500,4500,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4500,5000,6000,7500,7500,8000,9000,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,8500,8500,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,11000,11000,11000,11000,11000,11000,11000,11000,11000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,12000,11000,10000,10000,10000,9500,9000,9000,9000,8500,8500,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,7000,7500,7500,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,3000,3000,3000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7500,7000,7000,7000,7000,8000,8000,8000,8000,8000,9000,9000,9000,9000,9000,9500,9500,9500,11000,11000,11500,11500,11500,11500,11500,11500,11500,11000,11000,11000,11000,11000,11000,12000
,월동,-0,-0,-0,3500,3500,3500,3500,3500,3500,3500,3500,3000,3000,3000,3000,3000,3000,3500,3500,3500,3500,3500,3500,4000,4000,4500,4500,4500,4500,4500,4500,4500,5000,5500,5500,6000,6000,6000,6500,7000,7000,7500,8000,8000,8500,9000,9000,8500,8500,9000,9000,9000,9000,9000,10000,10000,10000,9500,9500,9500,9500,9500,10000,10500,11000,11000,11500,11500,12500,12500,12500,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,12000,12000,12000,12000,12000,12000,12000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
