구분,,01/04,01/05,01/06,01/07,01/08,01/11,01/12,01/13,01/14,01/15,01/18,01/19,01/20,01/21,01/22,01/25,01/26,01/27,01/28,01/29,02/01,02/02,02/03,02/04,02/05,02/11,02/12,02/15,02/16,02/17,02/18,02/19,02/22,02/23,02/24,02/25,02/26,02/29,03/02,03/03,03/04,03/07,03/08,03/09,03/10,03/11,03/14,03/15,03/16,03/17,03/18,03/21,03/22,03/23,03/24,03/25,03/28,03/29,03/30,03/31,04/01,04/04,04/05,04/06,04/07,04/08,04/11,04/12,04/14,04/15,04/18,04/19,04/20,04/21,04/22,04/25,04/26,04/27,04/28,04/29,05/02,05/03,05/04,05/09,05/10,05/11,05/12,05/13,05/16,05/17,05/18,05/19,05/20,05/23,05/24,05/25,05/26,05/27,05/30,05/31,06/01,06/02,06/03,06/07,06/08,06/09,06/10,06/13,06/14,06/15,06/16,06/17,06/20,06/21,06/22,06/23,06/24,06/27,06/28,06/29,06/30,07/01,07/04,07/05,07/06,07/07,07/08,07/11,07/12,07/13,07/14,07/15,07/18,07/19,07/20,07/21,07/22,07/25,07/26,07/27,07/28,07/29,08/01,08/02,08/03,08/04,08/05,08/08,08/09,08/10,08/11,08/12,08/16,08/17,08/18,08/19,08/22,08/23,08/24,08/25,08/26,08/29,08/30,08/31,09/01,09/02,09/05,09/06,09/07,09/08,09/09,09/12,09/13,09/19,09/20,09/21,09/22,09/23,09/26,09/27,09/28,09/29,09/30,10/04,10/05,10/06,10/07,10/10,10/11,10/12,10/13,10/14,10/17,10/18,10/19,10/20,10/21,10/24,10/25,10/26,10/27,10/28,10/31,11/01,11/02,11/03,11/04,11/07,11/08,11/09,11/10,11/11,11/14,11/15,11/16,11/17,11/18,11/21,11/22,11/23,11/24,11/25,11/28,11/29,11/30,12/01,12/05,12/06,12/07,12/08,12/09,12/12,12/13,12/14,12/15,12/16,12/19,12/20,12/21,12/22,12/23,12/26,12/27,12/28,12/29,12/30
평균,,4400,4500,4500,4550,4550,4700,4700,4700,4800,4800,5100,5300,5700,5800,6300,6900,6700,7400,7400,7600,7100,7000,7100,7100,7200,7000,7000,7600,8000,8400,8800,9000,8800,9400,9600,9200,9800,10000,11100,11000,11000,11600,11800,11800,11800,11800,11600,11600,11800,11800,12000,12000,12200,12200,12000,12200,13200,13200,13200,13200,14400,14600,15000,15200,15600,15600,15600,15400,15200,15000,15200,14800,14800,14889,15000,15200,15200,14600,15200,15100,14000,13600,12600,11400,11400,11400,11000,10800,12000,12200,11600,11800,12000,11400,11400,11400,11000,10600,8800,8200,7800,7600,7400,7000,6800,6500,5600,5800,5600,5000,5000,5400,6000,6500,6100,6500,6600,6400,6200,5700,5700,5700,5700,6200,6500,7200,7200,7000,7400,8400,8400,8400,8400,8200,7900,7600,7700,7700,7800,7800,8100,8300,10600,11400,11600,11200,11800,11200,11800,12800,13200,13400,13800,15200,15200,15600,17800,18200,18200,18400,19200,20000,21600,23000,23800,23400,23000,22600,22200,23000,21400,21000,23000,19800,20200,20400,20000,19600,19800,19800,19600,18600,18600,17800,16600,16000,14800,12600,11600,10400,9600,10000,10000,10000,9400,8800,8800,8000,8000,8000,7400,7400,7400,7100,7000,7000,6900,6600,6800,7400,7200,7400,7400,7400,8000,8200,9800,10200,10000,10200,10400,10400,10400,10400,10200,10400,10200,10000,9400,9400,8800,9200,9000,8800,8800,9600,9200,9000,9500,9300,9000,9200,9200,9200,9200,9000
평년,,8381,8795,8813,7237,6580,7060,7023,7003,7000,6987,6873,6850,6857,6823,6770,6680,6673,6667,6665,6655,6632,6645,6653,6648,6668,6798,6813,7047,7173,7280,7368,7385,7703,7820,7913,7917,7917,7292,8197,8258,8298,8660,8713,8706,8718,8722,8751,8760,8800,8800,8793,8947,8998,9070,9087,9070,9010,9057,9090,9077,9053,9280,9307,9380,9322,9215,9107,8920,8487,8213,9884,9804,7863,7807,7818,8063,8030,7963,7981,7488,7249,7020,6859,5606,5575,5556,5550,5567,6459,6438,6585,6901,6570,6274,6173,6128,6114,6127,4660,4593,4530,4524,4497,4353,4302,4279,4280,4261,4289,4334,4382,4486,4725,4793,4851,4897,4905,5540,5707,5735,5742,5808,5979,5958,5933,5938,5940,5900,6020,6137,6285,6263,6355,6425,7149,7369,7607,7877,7765,7860,7890,7510,7474,7514,7549,7580,7440,7693,7791,7874,7703,9098,9403,9373,9407,9507,9580,9600,9660,9673,9673,9884,9972,10012,10031,10125,10471,10553,10593,10617,10583,10510,10555,9685,9455,9295,9158,8893,7989,7730,7613,7566,7416,6640,6592,6492,6307,5847,5738,5663,5641,5565,5365,5303,5250,5209,5187,5093,5010,4955,4849,4701,4305,4252,4190,4514,4450,4563,4599,4890,4923,4834,4630,4688,4722,4737,4831,5167,5197,5228,5278,5287,5358,5352,5350,5330,4897,4810,4767,4720,4600,4277,4225,4203,4188,4187,4132,4132,4120,4113,4120,4133,4147,4157,4170,4187
서울,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,14000,14000,14000,15000,15000,13000,15000,15000,14000,14000,13000,11000,11000,11000,10000,11000,13000,14000,13000,13000,12000,10000,10000,10000,10000,10000,9000,9000,7000,7000,7000,6000,6000,6000,5000,6000,6000,5000,5000,6000,6000,6500,6500,6500,6000,6000,5000,5000,5000,5000,5000,6000,5500,7000,7000,6000,7000,8000,9000,9000,9000,8000,7000,7000,7000,7000,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,8000,9000,8000,9000,8000,9000,9000,10000,11000,11000,11000,13000,11000,12000,13000,13000,14000,15000,16000,16000,16000,20000,20000,20000,19000,22000,22000,23000,23000,24000,24000,23000,23000,21000,21000,21000,18000,21000,20000,19000,19000,20000,20000,21000,21000,23000,22000,20000,18000,16000,16000,13000,10000,10000,10000,10000,11000,10000,10000,9000,8000,8000,8000,8000,8000,8000,8000,7000,8000,8000,8000,8000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,4500,4500,4500,4500,4500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,8000,8000,9000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,10000,10000,9000,9000,9000,10000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
,월동,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000,6500,7000,7000,7000,7000,7000,7000,7000,6500,7000,7000,7500,7500,7500,8000,8000,8000,8000,9000,9000,9000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000,14000,14000,14000,14000,16000,16000,16000,16000,16000,-0,16000,18000,18000,18000,18000,18000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,10000,10000,10000,10000,10000,10000,10000,10000
부산,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,14000,14000,14000,15000,15000,14000,15000,15000,14000,14000,13000,12000,12000,12000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11000,9000,9000,9000,9000,8000,7000,7000,7000,6000,6000,6000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,5500,5500,5500,5500,6000,6000,7000,7000,7000,7000,8000,8000,8000,8000,8000,7500,7000,7000,7000,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7000,7000,7000,7000,7000,8000,9000,11000,11000,11000,10000,11000,10000,11000,12000,12000,12000,12000,12000,12000,14000,17000,17000,17000,17000,18000,21000,22000,23000,23000,22000,22000,22000,21000,21000,21000,20000,21000,19000,19000,19000,19000,19000,19000,19000,19000,18000,18000,18000,17000,17000,16000,12000,11000,9000,9000,10000,10000,10000,9000,9000,9000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,4500,4500,4500,4500,4500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,10000,11000,10000,10000,10000,10000,10000,10000,10000,11000,11000,10000,10000,10000,9000,9000,9000,9000,9000,10000,10000,9000,9000,9000,9000,9000,9000,9000,9000,9000
,월동,5000,5000,5000,5000,5000,4500,4500,4500,5000,5000,5000,5000,6000,6000,7000,8000,7000,7000,7000,7000,6500,6500,6500,6500,6500,6500,6500,8000,8000,9000,9000,9000,9000,9000,9000,9000,10000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,13000,13000,13000,13000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,9000,9000,9000,9000,9000,9000,9000,9000
