구분,,01/02,01/03,01/04,01/05,01/08,01/09,01/10,01/11,01/12,01/15,01/16,01/17,01/18,01/19,01/22,01/23,01/24,01/25,01/26,01/29,01/30,01/31,02/01,02/02,02/05,02/06,02/07,02/08,02/09,02/12,02/13,02/14,02/19,02/20,02/21,02/22,02/23,02/26,02/27,02/28,03/02,03/05,03/06,03/07,03/08,03/09,03/12,03/13,03/14,03/15,03/16,03/19,03/20,03/21,03/22,03/23,03/26,03/27,03/28,03/29,03/30,04/02,04/03,04/04,04/05,04/06,04/09,04/10,04/11,04/12,04/13,04/16,04/17,04/18,04/19,04/20,04/23,04/24,04/25,04/26,04/27,04/30,05/02,05/03,05/04,05/08,05/09,05/10,05/11,05/14,05/15,05/16,05/17,05/18,05/21,05/23,05/24,05/25,05/28,05/29,05/30,05/31,06/01,06/04,06/05,06/07,06/08,06/11,06/12,06/14,06/15,06/18,06/19,06/20,06/21,06/22,06/25,06/26,06/27,06/28,06/29,07/02,07/03,07/04,07/05,07/06,07/09,07/10,07/11,07/12,07/13,07/16,07/17,07/18,07/19,07/20,07/23,07/24,07/25,07/26,07/27,07/30,07/31,08/01,08/02,08/03,08/06,08/07,08/08,08/09,08/10,08/13,08/14,08/16,08/17,08/20,08/21,08/22,08/23,08/24,08/27,08/28,08/29,08/30,08/31,09/03,09/04,09/05,09/06,09/07,09/10,09/11,09/12,09/13,09/14,09/17,09/18,09/19,09/20,09/21,09/27,09/28,10/01,10/02,10/04,10/05,10/08,10/10,10/11,10/12,10/15,10/16,10/17,10/18,10/19,10/22,10/23,10/24,10/25,10/26,10/29,10/30,10/31,11/01,11/02,11/05,11/06,11/07,11/08,11/09,11/12,11/13,11/14,11/15,11/16,11/19,11/20,11/21,11/22,11/23,11/26,11/27,11/28,11/29,11/30,12/03,12/04,12/05,12/06,12/10,12/11,12/12,12/13,12/14,12/17,12/18,12/19,12/20,12/21,12/24,12/26,12/27,12/28,12/31
평균,,6850,6830,6850,6850,7000,7000,7000,7000,6960,6800,7000,6400,6260,6300,6360,6500,6460,6400,6400,6900,7800,8300,8360,9100,10000,10600,10900,10500,10200,9300,9100,8800,8200,8400,8400,8200,8200,8500,8600,8600,8600,8600,8800,8800,8700,8700,9200,8600,8900,8800,8300,8300,8200,8400,9000,9200,9200,9100,8900,8600,8500,8500,8500,8200,8300,7900,8000,8300,8300,8400,8200,8300,8400,8100,8000,8000,8200,8200,8200,7900,7800,8000,8000,7800,7900,7200,7050,7050,6700,6630,6780,6780,6780,6750,6000,5400,5300,5300,5200,5200,5200,5100,5100,4900,4900,4900,4900,5000,4900,5500,5600,6000,6000,5900,5800,5900,6400,6500,6900,7066,6666,6866,6932,6800,6700,6600,7200,7300,8600,8800,9200,10210,9510,10000,10600,10800,12400,13200,13400,14720,16200,15800,17000,16000,15600,14800,15200,15600,15600,15000,15200,15000,15400,17000,18400,19800,20400,21000,22800,25000,23600,24600,23000,21800,20200,19400,17000,16400,16200,15400,15200,15800,16000,15600,15000,14800,14400,14400,13800,14000,12600,11800,11000,10200,8700,9100,10000,9000,8400,8100,8066,8266,8100,7900,8100,8200,7800,7800,7800,7800,7900,7800,7800,7800,7900,8100,8300,8100,8200,8200,7600,7600,7800,7800,7200,7400,7200,7200,7000,7500,7000,6400,6600,6600,6800,6632,6500,6566,6700,6966,6966,6966,6966,6466,6100,5700,5600,5600,5600,5600,5800,5466,5466,5532
평년,,8044,7043,7711,7814,6210,6383,6397,6433,6500,6623,6627,6600,6627,6710,7020,7082,7128,7240,7307,7397,7393,7390,7365,7305,7217,7212,7185,7183,7183,7250,7247,7213,7668,7730,7770,7890,7907,8133,8182,8145,8307,8570,8577,8580,8607,8613,8570,8567,8573,8567,8600,8667,8673,8628,8602,8623,8707,8680,8703,8717,8697,8773,8760,8740,8660,8573,8427,8353,8213,8100,8027,7860,7820,7808,7808,7817,9896,9903,9835,9788,9749,8321,8233,8032,7897,6562,6567,6498,6459,6794,7088,7204,7203,7400,7333,7199,7133,7071,4785,6270,6153,5943,5763,5553,5570,5620,5575,5340,5338,5100,5105,5283,5322,5410,5555,5602,5652,5645,5647,5613,5595,5696,5766,5819,5905,6014,6158,6253,6403,6563,6717,6758,6770,6805,6848,6832,7456,7523,7623,7930,8095,8447,8453,8698,8845,9340,9863,8483,8548,8638,8769,11297,11453,11757,11983,12783,13060,13287,13567,13735,13753,13760,13604,13545,13628,14035,14041,14264,14300,14073,13827,13733,13467,13225,13128,12613,12458,12325,12288,12208,10370,10040,9409,9163,8960,8878,8220,7807,7365,6943,6159,5985,5645,5403,5257,5133,5127,5067,5425,5544,5423,5350,4804,4782,4764,4382,4438,4357,4421,5018,5220,5280,5339,5408,5446,5692,5820,5939,6013,6042,6150,6141,6104,6013,5965,5692,5565,5447,5378,5233,5145,5135,5118,5126,5138,5141,5156,5181,5179,7473,7475,7473,7467,7293
서울,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,5000,5000,5000,5000,5000,6000,6000,6000,6000,5000,4500,4500,4500,4500,4500,4500,5000,5000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,5000,5000,6000,7000,7000,7000,7000,7000,7000,7000,6000,6000,7000,7000,9000,9000,9000,10000,9000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,11000,10000,10000,10000,12000,11000,12000,12000,14000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,18000,20000,20000,20000,22000,24000,26000,24000,24000,22000,20000,18000,18000,16000,16000,16000,16000,15000,15000,15000,15000,14000,12000,12000,12000,11000,11000,10000,10000,9000,9000,8000,9000,9000,8000,8000,7000,8000,8000,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,7000,8000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7000,7000,7000,7000,7000,7000,8000,8000,9000,8000,7000,7000,7000,7000,7000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5000,4500,4500,4500,4500,4500,4500,4500,4500
,월동,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,6500,6500,6500,6500,6500,6500,6500,6500,7500,8500,8500,9000,9000,10000,10000,10000,9000,9000,8000,8000,8000,8000,8000,8000,8000,8000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,8500,8500,8500,8500,8500,8500,9000,9000,9000,9000,9000,9000,8500,8500,8500,8500,8500,8500,8500,8000,8000,8000,8000,8000,8000,8000,7500,7500,7500,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,7000,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
부산,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7000,7000,7000,6000,6000,6000,6000,6000,6000,6000,5000,5000,5000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,5000,5000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,7000,7000,8000,8000,8000,8000,8000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,10000,10000,10000,10000,10000,12000,12000,12000,14000,15000,15000,15000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,15000,17000,18000,18000,19000,20000,24000,21000,21000,20000,20000,18000,17000,15000,15000,15000,15000,15000,15000,15000,14000,14000,14000,14000,14000,14000,14000,14000,12000,11000,10000,9000,9000,9000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,6000,6000,6000,6000,6000,6000,6000,6000,5000,5000,5000
,월동,7000,7000,7000,7000,7000,7000,7000,7000,7000,6500,6500,6000,6000,6000,6000,6000,6000,6000,6000,7000,7000,7000,7000,8000,9000,10000,10000,10000,10000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,9000,9000,8000,8000,8000,8000,9000,9000,9000,9000,9000,8500,8500,8500,8500,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
