일자,"서울가락도매
평균가격 (원/kg)","서울강서도매
평균가격 (원/kg)","광주각화도매
평균가격 (원/kg)","대전오정도매
평균가격 (원/kg)","대전노은도매
평균가격 (원/kg)","구리도매시장
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,940,620,860,1030,1070,710
20220104,840,560,800,940,980,690
20220105,730,530,840,850,830,640
20220106,660,580,840,820,760,590
20220107,620,540,810,790,830,550
20220108,660,490,890,740,920,540
20220109,700,470,910,700,920,540
20220110,720,570,650,590,890,570
20220111,740,500,680,640,880,550
20220112,720,440,840,720,880,640
20220113,660,1130,920,840,830,720
20220114,650,1260,860,840,920,700
20220115,690,760,1140,880,1370,700
20220116,750,810,1410,1000,1680,710
20220117,680,600,870,810,910,640
20220118,680,580,960,840,860,640
20220119,710,560,980,900,870,640
20220120,700,620,900,860,960,570
20220121,700,640,1030,860,880,570
20220122,820,540,1000,820,920,630
20220123,900,460,830,700,1050,640
20220124,700,520,780,740,790,530
20220125,740,500,980,700,790,540
20220126,720,540,1100,660,790,560
20220127,680,520,940,640,760,580
20220128,700,470,940,610,720,570
20220129,770,500,1020,780,870,610
20220130,830,510,1010,980,1030,650
20220131,,,,900,3470,
20220201,,,,900,3470,
20220202,,,,,,
20220203,,,,,,
20220204,740,640,1050,640,970,710
20220205,800,620,1280,620,1120,700
20220206,850,590,1520,610,1280,680
20220207,760,610,1190,880,860,670
20220208,800,560,1260,760,820,670
20220209,900,540,1080,680,830,670
20220210,860,560,820,720,830,660
20220211,780,500,840,720,840,600
20220212,780,580,880,710,860,580
20220213,760,720,870,710,820,600
20220214,790,560,890,630,680,650
20220215,780,560,860,620,780,620
20220216,780,580,830,660,880,630
20220217,780,580,900,650,820,720
20220218,720,520,960,860,800,730
20220219,770,520,920,940,840,680
20220220,840,560,920,750,870,690
20220221,730,590,1270,710,970,660
20220222,800,560,1080,740,860,680
20220223,800,520,1120,760,880,660
20220224,760,520,1100,740,1030,640
20220225,810,500,960,760,1030,620
20220226,800,550,1120,760,940,640
20220227,780,620,1190,710,840,690
20220228,740,620,1240,710,870,650
20220301,780,610,1100,750,940,650
20220302,850,640,1040,820,920,720
20220303,840,640,1040,800,840,750
20220304,820,640,990,780,880,740
20220305,820,620,1270,810,850,710
20220306,780,570,1510,810,810,660
20220307,770,580,1180,730,860,710
20220308,760,610,1020,760,900,670
20220309,750,620,1190,1000,960,640
20220310,810,580,1420,1060,1000,640
20220311,880,600,1300,980,960,670
20220312,860,560,1670,990,1030,750
20220313,850,450,2060,940,1140,800
20220314,900,630,1110,910,1050,760
20220315,850,650,1040,890,1100,780
20220316,810,630,1040,880,1040,760
20220317,820,600,1160,960,1080,730
20220318,840,620,1240,1050,1270,720
20220319,840,640,1280,1080,1180,720
20220320,850,660,1300,1080,1060,730
20220321,940,640,1210,920,1030,800
20220322,920,640,1190,860,960,810
20220323,880,630,1080,860,920,830
20220324,860,640,1200,900,960,840
20220325,900,620,1380,920,980,820
20220326,940,660,1700,1100,1040,800
20220327,940,730,2030,1210,1100,800
20220328,910,670,1170,1080,1260,820
20220329,920,730,1180,1100,1280,820
20220330,940,730,1260,1080,1200,900
20220331,960,670,1280,1060,1140,880
20220401,930,660,1220,1060,1090,870
20220402,960,680,1420,1040,1160,920
20220403,1000,710,1630,1040,1320,890
20220404,960,770,1240,1170,1100,910
20220405,960,750,1220,1100,1070,900
20220406,920,730,1180,1040,1020,870
20220407,910,690,1160,1080,1120,840
20220408,920,680,1180,1100,1340,810
20220409,900,650,1320,1120,1400,790
20220410,890,600,1440,1130,1370,800
20220411,890,690,1380,1090,1250,750
20220412,880,630,1430,1060,1180,780
20220413,880,640,1440,1100,1220,820
20220414,870,700,1400,1150,1230,860
20220415,910,700,1440,1060,990,910
20220416,960,680,1410,1000,830,880
20220417,960,650,1350,1010,800,860
