,평균,평년,서울,,,,부산,,,,대구,,,,광주,,,,대전,,,
2009/Unnamed: 1,,,봄,여름(고랭지),가을,월동,봄,여름(고랭지),가을,월동,봄,여름(고랭지),가을,월동,봄,여름(고랭지),가을,월동,봄,여름(고랭지),가을,월동
2009/01/02,4060,4060,0,0,4500,0,0,0,4000,0,0,0,4000,0,0,0,3500,0,0,0,4300,0
2009/01/05,4060,5007,0,0,4500,0,0,0,4000,0,0,0,4000,0,0,0,3500,0,0,0,4300,0
2009/01/06,3960,4952,0,0,4000,0,0,0,4000,0,0,0,4000,0,0,0,3500,0,0,0,4300,0
2009/01/07,3960,4893,0,0,4000,0,0,0,4000,0,0,0,4000,0,0,0,3500,0,0,0,4300,0
2009/01/08,3900,4835,0,0,4000,0,0,0,4000,0,0,0,4000,0,0,0,3500,0,0,0,4000,0
2009/01/09,3900,4762,0,0,4000,0,0,0,4000,0,0,0,4000,0,0,0,3500,0,0,0,4000,0
2009/01/12,4000,4539,0,0,4500,0,0,0,4000,0,0,0,4000,0,0,0,3500,0,0,0,4000,0
2009/01/13,4100,4048,0,0,4500,0,0,0,4000,0,0,0,4000,0,0,0,4000,0,0,0,4000,0
2009/01/14,4000,3918,0,0,4000,0,0,0,4000,0,0,0,4000,0,0,0,4000,0,0,0,4000,0
2009/01/15,4063,3887,0,0,4000,4000,0,0,4500,4000,0,0,4000,4000,0,0,4000,0,0,0,4000,0
2009/01/16,4000,3863,0,0,4000,4000,0,0,4500,4000,0,0,4000,3500,0,0,4000,4000,0,0,4000,4000
2009/01/19,3950,3732,0,0,4000,4000,0,0,4500,4000,0,0,3500,3500,0,0,4000,4000,0,0,4000,4000
2009/01/20,3950,3712,0,0,4000,4000,0,0,4500,4000,0,0,3500,3500,0,0,4000,4000,0,0,4000,4000
2009/01/21,3800,3659,0,0,4500,4500,0,0,4000,3000,0,0,3500,3500,0,0,4000,4000,0,0,3500,3500
2009/01/22,3800,3667,0,0,4500,4500,0,0,4000,3000,0,0,3500,3500,0,0,4000,4000,0,0,3500,3500
2009/01/23,3700,3652,0,0,4000,4000,0,0,4000,3000,0,0,3500,3500,0,0,4000,4000,0,0,3500,3500
2009/01/28,3700,3609,0,0,4000,4000,0,0,4000,3000,0,0,3500,3500,0,0,4000,4000,0,0,3500,3500
2009/01/29,3700,3532,0,0,4000,4000,0,0,4000,3000,0,0,3500,3500,0,0,4000,4000,0,0,3500,3500
2009/01/30,3700,3518,0,0,4000,4000,0,0,4000,3000,0,0,3500,3500,0,0,4000,4000,0,0,3500,3500
2009/02/02,3700,3832,0,0,0,4000,0,0,0,3000,0,0,0,4000,0,0,0,4000,0,0,0,3500
2009/02/03,3700,3216,0,0,0,4000,0,0,0,3000,0,0,0,4000,0,0,0,4000,0,0,0,3500
2009/02/04,3740,3229,0,0,0,4200,0,0,0,3000,0,0,0,4000,0,0,0,4000,0,0,0,3500
