일자,"서울가락도매
평균가격 (원/kg)","대구북부도매
평균가격 (원/kg)","구리도매시장
평균가격 (원/kg)","대전오정도매
평균가격 (원/kg)","서울강서도매
평균가격 (원/kg)","대전노은도매
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,660,570,620,610,700,620
20220104,680,620,620,600,700,600
20220105,690,620,640,580,700,600
20220106,660,560,620,600,740,600
20220107,640,550,590,600,720,590
20220108,610,550,570,560,650,600
20220109,580,550,560,510,620,600
20220110,570,780,580,560,640,520
20220111,590,710,550,540,880,520
20220112,600,560,500,500,850,520
20220113,540,530,480,490,650,520
20220114,480,590,460,500,640,550
20220115,470,490,460,450,960,550
20220116,470,390,480,420,1380,520
20220117,490,730,490,510,540,470
20220118,560,620,490,470,570,480
20220119,580,520,480,440,820,500
20220120,520,520,480,440,840,500
20220121,500,570,540,430,590,480
20220122,480,520,520,460,740,470
20220123,490,390,410,480,950,460
20220124,490,630,440,480,530,410
20220125,540,570,420,440,590,430
20220126,520,470,420,410,580,430
20220127,450,480,430,410,500,460
20220128,460,520,430,460,540,480
20220129,480,480,460,490,880,440
20220130,470,450,500,480,1170,
20220131,,,,530,,430
20220201,,,,530,,430
20220202,,,,,,
20220203,,,,,,
20220204,600,540,460,480,860,500
20220205,560,490,450,490,720,490
20220206,520,440,440,500,580,480
20220207,500,460,500,480,520,440
20220208,480,450,500,460,560,450
20220209,460,440,460,460,550,440
20220210,500,440,460,460,590,440
20220211,490,440,440,440,590,430
20220212,430,370,410,400,700,400
20220213,430,300,410,370,910,380
20220214,440,520,370,410,450,380
20220215,420,430,350,390,450,380
20220216,390,460,330,370,710,360
20220217,370,500,320,560,700,340
20220218,440,440,300,530,390,340
20220219,430,400,310,300,360,350
20220220,340,340,330,290,370,350
20220221,360,610,370,340,350,310
20220222,340,480,360,330,590,340
20220223,400,450,340,270,600,360
20220224,380,460,340,320,360,320
20220225,320,350,320,530,360,320
20220226,360,330,330,520,340,340
20220227,390,340,340,400,330,330
20220228,420,370,380,390,320,370
20220301,420,350,370,410,340,390
20220302,420,330,380,430,340,420
20220303,430,320,400,420,350,380
20220304,500,300,400,400,700,360
20220305,490,270,400,360,720,380
20220306,420,250,410,330,440,370
20220307,400,280,400,360,830,330
20220308,390,400,380,380,1040,320
20220309,380,410,590,390,860,300
20220310,360,280,580,360,400,270
20220311,400,360,360,330,400,280
20220312,390,340,370,300,460,300
20220313,340,240,370,290,500,300
20220314,460,500,310,320,390,300
20220315,1070,490,320,330,670,270
20220316,1020,370,320,310,670,260
20220317,340,320,300,310,420,270
20220318,400,340,280,380,410,260
20220319,380,280,260,340,380,260
20220320,270,240,230,260,390,240
20220321,290,220,220,320,790,290
20220322,300,330,220,260,700,300
20220323,280,360,240,250,450,260
20220324,270,260,260,260,290,200
20220325,300,260,240,210,270,180
20220326,320,240,280,180,310,190
20220327,310,180,320,170,370,190
20220328,340,300,280,270,230,230
20220329,340,300,300,260,400,300
20220330,370,310,320,300,740,300
20220331,380,300,350,370,820,320
20220401,350,300,380,400,750,320
20220402,320,340,350,340,600,280
20220403,300,360,320,290,420,320
20220404,360,420,400,340,570,340
20220405,420,380,390,360,520,360
20220406,440,340,410,320,560,360
20220407,410,340,460,350,770,340
20220408,400,360,450,380,760,400
20220409,370,390,410,390,550,410
20220410,360,410,400,450,480,360
20220411,360,580,420,380,530,380
20220412,380,620,400,380,520,460
20220413,420,580,400,380,520,520
20220414,460,450,480,420,590,500
20220415,560,420,540,420,580,480
20220416,620,420,600,400,600,490
20220417,600,390,650,430,630,500
20220418,490,620,590,460,600,540
20220419,480,590,540,480,620,550
20220420,470,540,500,520,590,510
20220421,540,520,500,500,560,490
20220422,560,550,510,460,540,520
20220423,540,540,540,500,540,550
20220424,580,530,570,530,570,570
20220425,570,610,640,610,550,600
20220426,640,610,560,600,720,600
