,평균,평년,서울,부산,대구,광주,대전
2009/01/02,15150,10150,17250,15000,14250,15000,14250
2009/01/05,15090,10099,17250,15000,14250,15000,13950
2009/01/06,15450,10073,16500,15000,14250,15000,16500
2009/01/07,15450,10046,16500,15000,14250,15000,16500
2009/01/08,15450,10025,16500,15000,14250,15000,16500
2009/01/09,15450,10017,16500,15000,14250,15000,16500
2009/01/12,15450,9982,16500,15000,14250,15000,16500
2009/01/13,15600,9966,16500,15000,15000,15000,16500
2009/01/14,15600,9948,16500,15000,15000,15000,16500
2009/01/15,15600,9933,16500,15000,15000,15000,16500
2009/01/16,15600,9925,16500,15000,15000,15000,16500
2009/01/19,15600,9962,16500,15000,15000,15000,16500
2009/01/20,15750,9956,17250,15000,15000,15000,16500
2009/01/21,15750,9977,17250,15000,15000,15000,16500
2009/01/22,15900,9983,17250,15750,15000,15000,16500
2009/01/23,15900,9987,17250,15750,15000,15000,16500
2009/01/28,15900,10070,17250,15750,15000,15000,16500
2009/01/29,15900,10125,17250,15750,15000,15000,16500
2009/01/30,15900,10145,17250,15750,15000,15000,16500
2009/02/02,15900,10324,17250,15750,15000,15000,16500
2009/02/03,15600,10376,17250,15750,15000,15000,15000
2009/02/04,15750,10427,18000,15750,15000,15000,15000
2009/02/05,16650,10463,18000,15750,15000,16500,18000
2009/02/06,17250,10480,18000,17250,16500,16500,18000
2009/02/09,18150,10698,19500,17250,18000,18000,18000
2009/02/10,18900,10734,19500,18000,18000,19500,19500
2009/02/11,19650,10839,20250,19500,19500,19500,19500
2009/02/12,20100,10900,20250,20250,19500,20250,20250
2009/02/13,20250,10934,20250,21000,19500,20250,20250
2009/02/16,20850,11418,21750,21000,21000,20250,20250
2009/02/17,21000,11554,21750,21000,21000,20250,21000
2009/02/18,21000,11617,21750,21000,21000,20250,21000
2009/02/19,21000,11608,21750,21000,21000,20250,21000
2009/02/20,21000,11653,21000,21000,21000,21000,21000
2009/02/23,21450,11912,21000,21000,21000,22500,21750
2009/02/24,21750,12022,22500,21000,21000,22500,21750
2009/02/25,21750,12140,22500,21000,21000,22500,21750
2009/02/26,21750,12160,22500,21000,21000,22500,21750
2009/02/27,21900,12208,23250,21000,21000,22500,21750
2009/03/02,21900,12596,23250,21000,21000,22500,21750
2009/03/03,21900,12840,23250,21000,21000,22500,21750
2009/03/04,22050,12968,24000,21000,21000,22500,21750
2009/03/05,22200,12925,24750,21000,21000,22500,21750
2009/03/06,22800,12849,24750,22500,21750,22500,22500
2009/03/09,22800,12740,24000,22500,22500,22500,22500
2009/03/10,22800,12616,24000,22500,22500,22500,22500
2009/03/11,22650,12575,23250,22500,22500,22500,22500
2009/03/12,22800,12470,22500,24000,22500,22500,22500
2009/03/13,22350,12253,21750,24000,22500,22500,21000
2009/03/16,20700,11738,21000,21000,21000,21000,19500
2009/03/17,20550,11645,21000,21000,20250,21000,19500
2009/03/18,20550,11633,21750,21000,19500,21000,19500
2009/03/19,20550,11564,21750,21000,19500,21000,19500
2009/03/20,19650,11470,21750,18000,19500,19500,19500
2009/03/23,19650,11370,21750,18000,19500,19500,19500
2009/03/24,19500,11333,21000,18000,19500,19500,19500
2009/03/25,19500,11324,21000,18000,19500,19500,19500
2009/03/26,18900,11431,19500,18000,19500,19500,18000
2009/03/27,17850,11582,18000,18000,18750,18000,16500
2009/03/30,18150,12048,19500,18000,18750,18000,16500
2009/03/31,18150,12125,19500,18000,18750,18000,16500
2009/04/01,18600,12131,20250,18000,18750,18000,18000
2009/04/02,18450,12106,19500,18000,18750,18000,18000
2009/04/03,18600,12138,18750,19500,18750,18000,18000
2009/04/06,18750,12387,18750,19500,19500,18000,18000
2009/04/07,18750,12352,18750,19500,19500,18000,18000
2009/04/08,18750,12367,18750,19500,19500,18000,18000
2009/04/09,18750,12738,18750,19500,19500,18000,18000
