,itemname,kindname,countyname,marketname,yyyy,regday,price
0,파,대파(1kg),광주,서부도매,2022,10/04,"2,060"
1,파,대파(1kg),광주,서부도매,2022,10/05,"2,600"
2,파,대파(1kg),광주,서부도매,2022,10/06,"2,360"
3,파,대파(1kg),광주,서부도매,2022,10/07,"2,360"
4,파,대파(1kg),광주,서부도매,2022,10/11,"2,160"
5,파,대파(1kg),광주,서부도매,2022,10/12,"2,160"
6,파,대파(1kg),광주,서부도매,2022,10/13,"2,160"
7,파,대파(1kg),광주,서부도매,2022,10/14,"2,160"
8,파,대파(1kg),광주,서부도매,2022,10/17,"2,160"
9,파,대파(1kg),광주,서부도매,2022,10/18,"1,960"
10,파,대파(1kg),광주,서부도매,2022,10/19,"1,960"
11,파,대파(1kg),광주,서부도매,2022,10/20,"1,960"
12,파,대파(1kg),광주,서부도매,2022,10/21,"1,960"
13,파,대파(1kg),광주,서부도매,2022,10/24,"1,960"
14,파,대파(1kg),광주,서부도매,2022,10/25,"2,200"
15,파,대파(1kg),광주,서부도매,2022,10/26,"2,200"
16,파,대파(1kg),광주,서부도매,2022,10/27,"2,200"
17,파,대파(1kg),광주,서부도매,2022,10/28,"2,000"
18,파,대파(1kg),광주,서부도매,2022,10/31,"2,000"
