일자,"서울가락도매
평균가격 (원/kg)","서울강서도매
평균가격 (원/kg)","구리도매시장
평균가격 (원/kg)","대전오정도매
평균가격 (원/kg)","부산반여도매
평균가격 (원/kg)","인천구월도매
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,1030,1120,1300,1040,1720,1100
20220104,1080,1040,1220,1060,1720,1060
20220105,1140,960,1050,1060,1580,1000
20220106,1140,960,1080,1040,1320,980
20220107,1140,940,1120,1080,1200,920
20220108,1100,930,1090,1100,1160,940
20220109,1050,930,1120,1090,1110,990
20220110,1060,910,1020,1130,1170,1010
20220111,1080,920,1020,1130,1100,1000
20220112,1100,930,1020,1280,1140,1010
20220113,1120,960,1020,1440,1240,1050
20220114,1140,980,1070,1380,1200,1060
20220115,1160,1030,1130,1260,1200,1100
20220116,1180,1070,1130,1200,1230,1150
20220117,1170,1060,1320,1100,1570,1110
20220118,1180,1040,1260,1080,1560,1140
20220119,1210,1040,1250,1060,1560,1240
20220120,1240,1080,1280,1100,1440,1390
20220121,1240,1120,1220,1060,1370,1600
20220122,1300,1240,1180,1040,1440,1700
20220123,1330,1330,1180,1110,1470,1680
20220124,1300,1260,1330,1140,1670,1500
20220125,1280,1240,1440,1160,1560,1440
20220126,1260,1220,1400,1280,1500,1300
20220127,1300,1220,1340,1310,1550,1260
20220128,1350,1260,1470,1250,1560,1300
20220129,1320,1260,1460,1250,1680,1300
20220130,1290,1250,1410,1240,1800,1300
20220131,,,,920,1180,1090
20220201,,,,920,1180,1090
20220202,,,,,,
20220203,,,,,,
20220204,1120,1000,1270,1110,,1210
20220205,1100,1020,1280,1110,1430,1220
20220206,1070,1030,1300,1110,1430,1240
20220207,1100,970,1200,1010,1400,1150
20220208,1100,960,1110,970,1460,1120
20220209,1070,900,1020,990,1460,1090
20220210,1040,920,1000,1010,1340,1100
20220211,1020,940,1000,1000,1320,1100
20220212,1000,900,1040,1000,1260,1080
20220213,990,920,1040,960,1160,1060
20220214,1040,960,1090,1120,1350,1080
20220215,1040,970,1050,1100,1320,1100
20220216,1140,1000,1060,1050,1280,1120
20220217,1220,990,1120,1100,1350,1160
20220218,1180,940,1100,1120,1460,1140
20220219,1120,940,1140,1120,1410,1080
20220220,1120,950,1200,1150,1340,1070
20220221,1290,1040,1290,1330,1490,1210
20220222,1330,1140,1360,1280,1530,1240
20220223,1300,1280,1380,1280,1540,1260
20220224,1280,1280,1340,1320,1450,1260
20220225,1340,1280,1370,1300,1400,1320
20220226,1280,1320,1380,1300,1450,1360
20220227,1220,1310,1380,1320,1510,1390
20220228,1350,1310,1390,1380,1720,1460
20220301,1380,1320,1400,1360,1950,1550
20220302,1550,1340,1460,1420,2360,1780
20220303,1600,1360,1500,1520,2660,1980
20220304,1570,1430,1540,1680,2680,2040
20220305,1580,1530,1590,1800,2440,1950
20220306,1530,1560,1570,1820,2300,1850
20220307,1590,1560,1620,1920,1630,1650
20220308,1670,1620,1660,1850,1620,1630
20220309,1730,1640,1680,1740,1580,1620
20220310,1760,1580,1640,1660,1620,1650
20220311,1750,1590,1590,1590,1640,1580
20220312,1600,1570,1480,1520,1690,1530
20220313,1520,1530,1400,1510,1800,1550
20220314,1470,1490,1340,1380,1900,1550
20220315,1420,1390,1320,1390,1820,1600
20220316,1310,1260,1320,1280,1840,1480
20220317,1220,1210,1280,1160,1810,1300
20220318,1160,1180,1180,1160,1640,1280
20220319,1100,1140,1130,1120,1490,1300
20220320,1080,1090,1110,1070,1380,1300
20220321,1200,1120,1080,1030,1360,1280
20220322,1200,1110,1110,980,1340,1260
20220323,1190,1100,1120,900,1390,1220
20220324,1160,1080,1120,880,1420,1220
20220325,1140,1060,1200,860,1370,1260
20220326,1100,1070,1180,840,1380,1260
20220327,1100,1060,1110,830,1410,1230
20220328,1110,1080,1130,760,1300,1140
20220329,1060,1040,1120,800,1300,1220
