,평균,평년,서울,부산,대구,광주,대전
2009/01/02,980,1236,1100,900,1000,900,1000
2009/01/05,960,1258,1100,900,900,900,1000
2009/01/06,960,1254,1000,900,900,1000,1000
2009/01/07,940,1245,900,900,900,1000,1000
2009/01/08,960,1235,1000,900,900,1000,1000
2009/01/09,960,1221,1000,900,900,1000,1000
2009/01/12,1000,1185,1000,1000,1000,1000,1000
2009/01/13,1000,1186,1000,1000,1000,1000,1000
2009/01/14,980,1186,900,1000,1000,1000,1000
2009/01/15,1000,1192,1000,1000,1000,1000,1000
2009/01/16,980,1205,1000,1000,900,1000,1000
2009/01/19,1020,1246,1200,1000,900,1000,1000
2009/01/20,1020,1264,1200,1000,900,1000,1000
2009/01/21,1060,1285,1200,1000,1100,1000,1000
2009/01/22,1120,1288,1300,1200,1100,1000,1000
2009/01/23,1200,1292,1400,1400,1100,1000,1100
2009/01/28,1200,1283,1400,1400,1100,1000,1100
2009/01/29,1140,1255,1200,1400,1000,1000,1100
2009/01/30,1120,1235,1200,1200,1000,1000,1200
2009/02/02,1080,1220,1000,1200,1000,1000,1200
2009/02/03,1000,1226,900,1000,1000,1000,1100
2009/02/04,980,1250,800,1000,1000,1000,1100
2009/02/05,1020,1262,900,1000,1000,1000,1200
2009/02/06,980,1274,800,1000,1000,1000,1100
2009/02/09,980,1296,900,1000,1000,900,1100
2009/02/10,980,1297,900,1000,1000,900,1100
2009/02/11,960,1306,900,1000,1000,900,1000
2009/02/12,980,1309,1000,1000,1000,900,1000
2009/02/13,960,1312,1000,1000,900,900,1000
2009/02/16,960,1358,1000,1000,900,900,1000
2009/02/17,960,1400,1000,1000,900,900,1000
2009/02/18,940,1437,900,1000,900,900,1000
2009/02/19,940,1468,1000,1000,900,900,900
2009/02/20,940,1489,1000,1000,900,900,900
2009/02/23,1000,1489,1200,1000,1000,900,900
2009/02/24,1020,1480,1200,1000,1000,900,1000
2009/02/25,980,1486,1000,1000,1000,900,1000
2009/02/26,1000,1488,1000,1000,1100,900,1000
2009/02/27,1000,1495,1000,1000,1100,900,1000
2009/03/02,980,1501,1000,1000,1000,900,1000
2009/03/03,980,1507,1000,1000,1000,900,1000
2009/03/04,1000,1525,1000,1000,1000,1000,1000
2009/03/05,980,1543,1000,1000,900,1000,1000
2009/03/06,980,1568,1000,1000,900,1000,1000
2009/03/09,980,1602,1000,1000,900,1000,1000
2009/03/10,980,1612,1000,1000,900,1000,1000
2009/03/11,980,1614,1000,1000,900,1000,1000
2009/03/12,980,1603,1000,1000,900,1000,1000
2009/03/13,980,1590,1000,1000,900,1000,1000
2009/03/16,900,1557,800,900,900,900,1000
2009/03/17,920,1533,900,900,900,900,1000
2009/03/18,920,1507,1000,900,900,900,900
2009/03/19,840,1475,1000,700,800,800,900
2009/03/20,800,1447,900,700,800,800,800
2009/03/23,820,1384,800,800,800,800,900
2009/03/24,880,1350,900,900,800,800,1000
2009/03/25,920,1310,1100,900,800,800,1000
2009/03/26,900,1274,1000,900,800,800,1000
2009/03/27,870,1249,900,900,800,800,950
2009/03/30,940,1183,900,1000,800,800,1200
2009/03/31,940,1167,900,1000,800,1000,1000
2009/04/01,940,1151,900,1000,800,1000,1000
2009/04/02,910,1134,850,1000,800,1000,900
2009/04/03,910,1120,850,1000,800,1000,900
2009/04/06,940,1108,900,1000,900,1000,900
2009/04/07,940,1098,900,1000,900,1000,900
