,일자,"서울가락도매
평균가격 (원/kg)"
0,20220101,0.0
1,20220102,0.0
2,20220103,3620.0
3,20220104,3600.0
4,20220105,3520.0
5,20220106,3460.0
6,20220107,3490.0
7,20220108,3510.0
8,20220109,3480.0
9,20220110,3670.0
10,20220111,3730.0
11,20220112,3840.0
12,20220113,3920.0
13,20220114,4000.0
14,20220115,4080.0
15,20220116,4110.0
16,20220117,4230.0
17,20220118,4200.0
18,20220119,4180.0
19,20220120,4260.0
20,20220121,4290.0
21,20220122,4220.0
22,20220123,4190.0
23,20220124,4250.0
24,20220125,4090.0
25,20220126,3800.0
26,20220127,3720.0
27,20220128,3960.0
28,20220129,4020.0
29,20220130,3870.0
30,20220131,0.0
31,20220201,0.0
32,20220202,0.0
33,20220203,0.0
34,20220204,3150.0
35,20220205,3040.0
36,20220206,2920.0
37,20220207,2930.0
38,20220208,2860.0
39,20220209,2770.0
40,20220210,2740.0
41,20220211,2760.0
42,20220212,2780.0
43,20220213,2760.0
44,20220214,2690.0
45,20220215,2690.0
46,20220216,2710.0
47,20220217,2740.0
48,20220218,2730.0
49,20220219,2700.0
50,20220220,2690.0
51,20220221,2780.0
52,20220222,2780.0
53,20220223,2780.0
54,20220224,2840.0
55,20220225,2960.0
56,20220226,2960.0
57,20220227,2880.0
58,20220228,2900.0
59,20220301,2850.0
60,20220302,2840.0
61,20220303,2900.0
62,20220304,2970.0
63,20220305,2970.0
64,20220306,2920.0
65,20220307,2920.0
66,20220308,2880.0
67,20220309,2820.0
68,20220310,2800.0
69,20220311,2800.0
70,20220312,2640.0
71,20220313,2480.0
72,20220314,2380.0
73,20220315,2280.0
74,20220316,2160.0
75,20220317,2250.0
76,20220318,2460.0
77,20220319,2620.0
78,20220320,2690.0
79,20220321,2920.0
80,20220322,2940.0
81,20220323,2980.0
82,20220324,3000.0
83,20220325,2990.0
84,20220326,2860.0
85,20220327,2780.0
86,20220328,2710.0
87,20220329,2640.0
88,20220330,2520.0
89,20220331,2520.0
90,20220401,2500.0
91,20220402,2290.0
92,20220403,2160.0
93,20220404,2190.0
94,20220405,2220.0
95,20220406,2220.0
96,20220407,2160.0
97,20220408,2080.0
98,20220409,1920.0
99,20220410,1800.0
100,20220411,1550.0
101,20220412,1440.0
102,20220413,1300.0
103,20220414,1280.0
104,20220415,1380.0
105,20220416,1600.0
106,20220417,1730.0
107,20220418,1900.0
108,20220419,1810.0
109,20220420,1660.0
110,20220421,1540.0
111,20220422,1460.0
112,20220423,1340.0
113,20220424,1260.0
114,20220425,1170.0
115,20220426,1160.0
116,20220427,1180.0
117,20220428,1310.0
118,20220429,1430.0
119,20220430,1480.0
120,20220501,1480.0
121,20220502,1670.0
122,20220503,1730.0
123,20220504,1760.0
124,20220505,1740.0
125,20220506,1680.0
126,20220507,1440.0
127,20220508,1230.0
128,20220509,1190.0
129,20220510,1160.0
130,20220511,1100.0
131,20220512,1120.0
132,20220513,1160.0
133,20220514,1140.0
134,20220515,1120.0
135,20220516,1280.0
136,20220517,1330.0
137,20220518,1380.0
138,20220519,1360.0
139,20220520,1350.0
140,20220521,1300.0
141,20220522,1250.0
142,20220523,1220.0
143,20220524,1220.0
144,20220525,1240.0
145,20220526,1310.0
146,20220527,1460.0
147,20220528,1550.0
148,20220529,1550.0
149,20220530,1420.0
150,20220531,1290.0
151,20220601,1130.0
152,20220602,1140.0
153,20220603,1220.0
154,20220604,1240.0
155,20220605,1230.0
156,20220606,1250.0
157,20220607,1360.0
158,20220608,1620.0
159,20220609,1900.0
160,20220610,2050.0
161,20220611,2020.0
162,20220612,1970.0
163,20220613,13790.0
164,20220614,7800.0
165,20220615,1900.0
166,20220616,2100.0
167,20220617,2300.0
168,20220618,2390.0
169,20220619,2420.0
170,20220620,2020.0
171,20220621,2000.0
172,20220622,2000.0
173,20220623,2030.0
174,20220624,2030.0
175,20220625,2000.0
176,20220626,1990.0
177,20220627,2000.0
178,20220628,2100.0
179,20220629,2360.0
180,20220630,2550.0
181,20220701,2610.0
182,20220702,2870.0
183,20220703,3120.0
184,20220704,3500.0
185,20220705,3630.0
186,20220706,3620.0
187,20220707,3210.0
188,20220708,2700.0
189,20220709,2300.0
190,20220710,2130.0
191,20220711,1750.0
192,20220712,1780.0
193,20220713,1820.0
194,20220714,1860.0
195,20220715,1980.0
196,20220716,2280.0
197,20220717,2490.0
198,20220718,2120.0
199,20220719,2050.0
200,20220720,1980.0
201,20220721,1960.0
202,20220722,1930.0
203,20220723,1860.0
204,20220724,1790.0
205,20220725,1720.0
206,20220726,1880.0
207,20220727,2160.0
208,20220728,2230.0
209,20220729,2100.0
210,20220730,1800.0
211,20220731,1580.0
212,20220801,1520.0
213,20220802,1760.0
214,20220803,2180.0
215,20220804,2360.0
216,20220805,2200.0
217,20220806,2040.0
218,20220807,0.0
219,20220808,1940.0
220,20220809,2480.0
221,20220810,3220.0
222,20220811,3650.0
223,20220812,3950.0
224,20220813,3840.0
225,20220814,3660.0
226,20220815,4110.0
227,20220816,4460.0
228,20220817,4850.0
229,20220818,4920.0
230,20220819,4830.0
231,20220820,4730.0
