일자,"서울가락도매
평균가격 (원/kg)","대구북부도매
평균가격 (원/kg)","서울강서도매
평균가격 (원/kg)","구리도매시장
평균가격 (원/kg)","대전오정도매
평균가격 (원/kg)","인천구월도매
평균가격 (원/kg)"
20220101,,,,,,
20220102,,,,,,
20220103,3620,2360,3360,3550,3320,3280
20220104,3600,2460,3340,3560,3420,2970
20220105,3520,2460,3410,3520,3440,3070
20220106,3460,2480,3420,3460,3400,3520
20220107,3490,2480,3390,3420,3420,3460
20220108,3510,2440,3370,3460,3440,3120
20220109,3480,2500,3310,3530,3500,2890
20220110,3670,2420,3640,3510,3610,3480
20220111,3730,2520,3700,3620,3660,3440
20220112,3840,2640,3790,3700,3780,3460
20220113,3920,2780,3940,3840,3750,3520
20220114,4000,2860,4040,3920,3880,3580
20220115,4080,2900,4100,4000,4080,3590
20220116,4110,3010,4160,4140,4060,3550
20220117,4230,3010,4250,4230,4180,4080
20220118,4200,3180,4270,4210,4280,4280
20220119,4180,3270,4260,4220,4400,4180
20220120,4260,3400,4300,4300,4440,4140
20220121,4290,3500,4320,4300,4520,4200
20220122,4220,3360,4210,4270,4500,4080
20220123,4190,3320,4140,4290,4420,4160
20220124,4250,3140,4320,4080,4480,3940
20220125,4090,3180,4300,4060,4310,3960
20220126,3800,3060,4020,3810,3910,3770
20220127,3720,2920,3720,3710,3780,3520
20220128,3960,2840,3900,3880,4000,3660
20220129,4020,2900,3860,3760,4200,4400
20220130,3870,3080,3630,3600,4300,4940
20220131,,,,,3860,3480
20220201,,,,,3860,3480
20220202,,,,,,
20220203,,,,,,
20220204,3150,1790,3240,3050,3180,3130
20220205,3040,1700,3090,2980,3060,3140
20220206,2920,1620,2940,2920,2940,3150
20220207,2930,1500,2850,2660,2710,2910
20220208,2860,1660,2800,2660,2640,2880
20220209,2770,1740,2630,2600,2500,3220
20220210,2740,1820,2480,2580,2760,3160
20220211,2760,1900,2520,2770,2980,2760
20220212,2780,1900,2640,2960,2810,2680
20220213,2760,1990,2690,3020,2760,2540
20220214,2690,1900,2590,2730,2770,2730
20220215,2690,1960,2580,2730,2900,2650
20220216,2710,1940,2600,2730,2900,2660
20220217,2740,1920,2600,2740,2780,2700
20220218,2730,1880,2600,2710,2720,2600
20220219,2700,1830,2620,2800,2680,2510
20220220,2690,1880,2610,2920,2730,2470
20220221,2780,1840,2710,2820,2780,2570
20220222,2780,1930,2720,2860,2760,2660
20220223,2780,1970,2740,2860,2810,2700
20220224,2840,2070,2820,2820,3090,2540
20220225,2960,2120,2880,2830,3240,2620
20220226,2960,2100,2940,2780,3090,2710
20220227,2880,2170,3000,2740,3020,2610
20220228,2900,2150,2880,2660,2810,2890
20220301,2850,2220,2890,2700,2760,2770
20220302,2840,2260,2880,2760,2740,2780
20220303,2900,2240,2900,2800,2860,2800
20220304,2970,2240,2960,2860,2920,2900
20220305,2970,2280,2950,2960,3020,2940
20220306,2920,2360,2920,3000,3150,2780
20220307,2920,2110,2880,2890,3040,2930
20220308,2880,2120,2850,2900,3010,2760
20220309,2820,2000,2800,2860,2920,2680
20220310,2800,1910,2790,2760,2830,2570
20220311,2800,1890,2740,2640,2740,2520
20220312,2640,1780,2660,2460,2550,2500
20220313,2480,1740,2650,2320,2420,2320
20220314,2380,1710,2470,2080,2180,2380
20220315,2280,1720,2360,2050,2160,2160
20220316,2160,1730,2140,2060,2180,2030
20220317,2250,1890,2080,2210,2300,2060
20220318,2460,2080,2260,2360,2480,2080
20220319,2620,2100,2480,2610,2660,2190
20220320,2690,2110,2580,2810,2780,2220
20220321,2920,2110,2760,2860,2910,2590
20220322,2940,2250,2860,3010,3040,2540
20220323,2980,2400,2900,3140,3120,2700
20220324,3000,2480,2910,3120,3120,2880
20220325,2990,2450,2940,3040,3090,2880
20220326,2860,2310,2920,2900,3050,2880
20220327,2780,2290,2910,2830,3060,2850
