,평균,평년,서울,부산,대구,광주,대전
2009/01/02,24400,19040,25000,22000,22000,28000,25000
2009/01/05,23000,19850,24000,20000,20000,26000,25000
2009/01/06,22400,20127,23000,20000,20000,26000,23000
2009/01/07,22200,20190,23000,20000,20000,25000,23000
2009/01/08,22600,20210,24000,20000,20000,26000,23000
2009/01/09,22600,20490,24000,20000,20000,26000,23000
2009/01/12,26400,21153,30000,24000,23000,27000,28000
2009/01/13,27400,21450,30000,28000,24000,27000,28000
2009/01/14,28000,21727,30000,28000,26000,27000,29000
2009/01/15,28400,22247,30000,28000,28000,27000,29000
2009/01/16,29000,22953,31000,28000,28000,28000,30000
2009/01/19,32400,25840,33000,32000,31000,33000,33000
2009/01/20,32400,26147,33000,32000,31000,33000,33000
2009/01/21,31200,26430,32000,32000,28000,30000,34000
2009/01/22,31000,26740,31000,32000,28000,30000,34000
2009/01/23,31600,26870,32000,32000,28000,32000,34000
2009/01/28,31600,25223,32000,32000,28000,32000,34000
2009/01/29,26800,25433,23000,32000,24000,25000,30000
2009/01/30,23200,25600,20000,24000,23000,23000,26000
2009/02/02,21800,24887,20000,20000,21000,24000,24000
2009/02/03,21000,24717,20000,20000,19000,24000,22000
2009/02/04,21000,24117,20000,20000,19000,24000,22000
2009/02/05,22400,23433,22000,23000,21000,24000,22000
2009/02/06,23200,23140,23000,23000,22000,24000,24000
2009/02/09,23000,23323,23000,23000,22000,23000,24000
2009/02/10,22600,23473,23000,21000,22000,23000,24000
2009/02/11,22800,22810,23000,21000,22000,23000,25000
2009/02/12,23000,21893,23000,21000,23000,23000,25000
2009/02/13,23000,21673,23000,21000,24000,22000,25000
2009/02/16,23000,20930,23000,21000,24000,23000,24000
2009/02/17,23000,21213,23000,21000,24000,23000,24000
2009/02/18,23800,21670,24000,21000,24000,25000,25000
2009/02/19,25000,21887,25000,24000,24000,26000,26000
2009/02/20,25600,21977,25000,24000,25000,28000,26000
2009/02/23,26400,21800,25000,24000,25000,30000,28000
2009/02/24,27200,21717,26000,26000,26000,30000,28000
2009/02/25,27800,21817,28000,26000,26000,30000,29000
2009/02/26,29200,21647,30000,28000,28000,30000,30000
2009/02/27,30400,21427,32000,28000,30000,30000,32000
2009/03/02,31200,22130,32000,31000,30000,30000,33000
2009/03/03,31200,22213,32000,31000,30000,30000,33000
2009/03/04,31200,22420,32000,31000,29000,31000,33000
2009/03/05,31200,22543,32000,31000,29000,31000,33000
2009/03/06,31400,22480,32000,31000,30000,31000,33000
2009/03/09,30800,21857,32000,31000,28000,31000,32000
2009/03/10,30400,21667,30000,31000,28000,31000,32000
2009/03/11,30200,21553,30000,31000,28000,31000,31000
2009/03/12,29200,21430,28000,31000,28000,31000,28000
2009/03/13,28400,21177,25000,31000,28000,30000,28000
2009/03/16,25000,20453,23000,31000,23000,24000,24000
2009/03/17,22600,20033,23000,24000,22000,20000,24000
2009/03/18,21600,19743,23000,21000,20000,20000,24000
2009/03/19,21400,19670,22000,21000,20000,20000,24000
2009/03/20,21600,19620,23000,21000,20000,20000,24000
2009/03/23,20800,18880,22000,19000,19000,20000,24000
2009/03/24,19600,18633,20000,19000,19000,19000,21000
2009/03/25,20400,18457,22000,19000,20000,19000,22000
2009/03/26,20200,18280,21000,19000,20000,19000,22000
2009/03/27,20800,17923,21000,20000,20000,21000,22000
2009/03/30,20000,17037,20000,20000,20000,19000,21000
2009/03/31,19200,16867,18000,20000,19000,19000,20000
2009/04/01,19200,16653,19000,20000,19000,19000,19000
2009/04/02,18600,16480,20000,19000,18000,18000,18000
2009/04/03,18602,16227,19009,19000,18000,18000,19000
2009/04/06,17600,15840,18000,19000,17000,16000,18000
2009/04/07,17200,15497,18000,19000,15000,16000,18000
2009/04/08,16000,15223,17000,15000,15000,16000,17000
2009/04/09,15400,15053,15000,15000,15000,15000,17000
2009/04/10,15200,14880,14000,15000,15000,15000,17000
2009/04/13,12400,14227,12000,11000,14000,11000,14000
2009/04/14,11800,14110,12000,11000,12000,11000,13000
2009/04/15,11000,14080,12000,10000,11000,11000,11000
2009/04/16,11800,14087,13000,12000,11000,11000,12000
2009/04/17,11600,13897,12000,12000,12000,10000,12000
2009/04/20,11400,13147,12000,12000,11000,10000,12000
2009/04/21,11600,12680,12000,12000,11000,11000,12000
2009/04/22,11200,12175,13000,10000,10000,11000,12000
