,관측일,국내 지점번호,일 평균기온,최고기온,최저기온,일 평균 전운량,일조합,일 강수량
0,20090101,105,-1.0,4.3,-5.9,-9.0,8.3,-9.0
1,20090102,105,0.9,5.9,-2.8,-9.0,9.0,-9.0
2,20090103,105,2.5,7.2,-1.4,-9.0,8.9,-9.0
3,20090104,105,3.1,7.3,0.7,-9.0,7.0,-9.0
4,20090105,105,2.4,6.7,-0.3,-9.0,7.9,-9.0
5,20090106,105,1.7,6.4,-1.8,-9.0,7.9,-9.0
6,20090107,105,2.7,6.7,-0.9,-9.0,8.2,-9.0
7,20090108,105,2.7,6.1,0.1,-9.0,6.4,-9.0
8,20090109,105,1.9,4.6,-0.8,-9.0,3.1,-9.0
9,20090110,105,-2.3,1.6,-4.7,-9.0,8.9,-9.0
10,20090111,105,-3.9,0.4,-7.3,-9.0,9.1,-9.0
11,20090112,105,-5.1,-1.0,-8.5,-9.0,8.7,-9.0
12,20090113,105,-2.1,2.8,-6.6,-9.0,9.2,-9.0
13,20090114,105,-2.3,0.8,-6.0,-9.0,9.2,-9.0
14,20090115,105,-2.4,3.5,-7.0,-9.0,9.1,-9.0
15,20090116,105,1.1,4.3,-2.1,-9.0,7.8,-9.0
16,20090117,105,2.7,7.6,-0.5,-9.0,8.5,-9.0
17,20090118,105,4.4,8.9,-0.6,-9.0,3.3,0.4
18,20090119,105,3.9,6.6,0.4,-9.0,8.8,-9.0
19,20090120,105,4.7,8.7,1.6,-9.0,7.3,-9.0
20,20090121,105,5.8,9.8,3.7,-9.0,3.7,-9.0
21,20090122,105,6.6,11.7,2.2,-9.0,7.1,-9.0
22,20090123,105,-3.6,8.4,-8.5,-9.0,8.9,-9.0
23,20090124,105,-4.7,-0.8,-9.6,-9.0,6.3,-9.0
24,20090125,105,-1.7,1.7,-6.8,-9.0,6.0,0.1
25,20090126,105,0.0,2.8,-1.6,-9.0,6.5,-9.0
26,20090127,105,0.2,4.7,-3.5,-9.0,9.3,-9.0
27,20090128,105,3.4,9.8,-1.5,-9.0,9.5,-9.0
28,20090129,105,5.5,9.3,1.8,-9.0,1.6,-9.0
29,20090130,105,5.2,6.6,4.4,-9.0,0.0,13.5
30,20090131,105,4.0,6.3,1.7,-9.0,0.0,10.0
31,20090201,105,3.6,6.6,2.0,-9.0,1.4,0.1
32,20090202,105,8.0,10.9,1.4,-9.0,0.6,-9.0
33,20090203,105,5.0,8.7,3.5,-9.0,0.0,2.0
34,20090204,105,6.4,10.8,1.8,-9.0,9.1,-9.0
35,20090205,105,7.5,11.2,4.1,-9.0,3.7,-9.0
36,20090206,105,5.9,9.0,2.6,-9.0,3.8,-9.0
37,20090207,105,7.5,12.5,4.9,-9.0,5.1,-9.0
38,20090208,105,6.3,10.4,2.0,-9.0,9.1,-9.0
39,20090209,105,8.0,11.2,5.7,-9.0,2.3,-9.0
40,20090210,105,6.8,10.1,4.6,-9.0,9.2,-9.0
41,20090211,105,8.1,11.5,5.8,-9.0,8.4,-9.0
42,20090212,105,8.8,12.8,3.8,-9.0,1.6,-9.0
43,20090213,105,9.3,21.3,6.8,-9.0,2.2,5.5
44,20090214,105,9.6,13.4,7.2,-9.0,2.9,-9.0
45,20090215,105,2.5,7.8,-1.1,-9.0,1.0,0.5
46,20090216,105,-1.4,2.8,-5.5,-9.0,10.0,-9.0
47,20090217,105,-0.9,2.6,-6.1,-9.0,10.2,-9.0
48,20090218,105,2.2,5.6,-0.9,-9.0,8.3,-9.0
49,20090219,105,3.7,7.0,0.9,-9.0,1.4,-9.0
50,20090220,105,2.8,5.0,-1.5,-9.0,6.8,-9.0
51,20090221,105,2.8,7.9,-2.8,-9.0,10.1,-9.0
52,20090222,105,6.6,9.4,4.7,-9.0,0.2,-9.0
53,20090223,105,4.5,6.0,3.0,-9.0,0.0,10.0
54,20090224,105,7.7,11.8,2.5,-9.0,3.1,-9.0
55,20090225,105,6.3,9.6,3.3,-9.0,2.0,2.5
56,20090226,105,4.8,8.1,2.4,-9.0,4.6,-9.0
57,20090227,105,5.1,9.6,1.8,-9.0,9.3,-9.0
58,20090228,105,4.6,8.9,0.9,-9.0,6.8,-9.0
59,20090301,105,4.8,9.7,0.1,-9.0,10.5,0.4
60,20090302,105,3.3,6.4,1.2,-9.0,5.0,8.0
61,20090303,105,4.7,8.5,2.2,-9.0,0.9,-9.0
62,20090304,105,5.8,10.2,3.0,-9.0,7.4,-9.0
63,20090305,105,6.9,10.2,2.4,-9.0,0.0,0.5
64,20090306,105,6.2,10.3,1.9,-9.0,9.2,-9.0
65,20090307,105,6.4,11.3,0.4,-9.0,10.5,-9.0
66,20090308,105,9.1,13.0,4.6,-9.0,7.2,-9.0
67,20090309,105,10.7,13.7,8.1,-9.0,8.7,-9.0
68,20090310,105,5.8,9.3,1.7,-9.0,10.7,-9.0
69,20090311,105,6.6,11.2,1.5,-9.0,8.1,-9.0
70,20090312,105,9.0,13.0,3.8,-9.0,6.1,0.0
71,20090313,105,5.9,9.6,1.1,-9.0,0.3,16.5
72,20090314,105,2.7,7.0,-2.1,-9.0,10.4,-9.0
73,20090315,105,7.6,11.9,2.6,-9.0,7.1,-9.0
74,20090316,105,11.5,14.6,8.8,-9.0,5.5,-9.0
75,20090317,105,16.5,22.0,9.3,-9.0,10.0,-9.0
76,20090318,105,20.3,23.9,17.1,-9.0,8.2,-9.0
77,20090319,105,14.9,24.0,6.3,-9.0,4.7,8.0
78,20090320,105,7.2,10.7,4.9,-9.0,5.8,-9.0
79,20090321,105,9.4,13.9,3.9,-9.0,8.0,0.0
80,20090322,105,9.1,10.7,7.0,-9.0,0.0,7.5
81,20090323,105,5.3,8.3,2.9,-9.0,0.4,7.5
82,20090324,105,4.9,9.2,1.0,-9.0,7.0,-9.0
83,20090325,105,4.5,8.0,0.1,-9.0,8.9,-9.0
84,20090326,105,5.3,8.6,2.7,-9.0,2.4,1.0
85,20090327,105,4.0,6.7,1.5,-9.0,8.1,-9.0
86,20090328,105,4.9,8.4,1.4,-9.0,9.7,2.0
87,20090329,105,3.5,4.8,2.4,-9.0,0.0,3.5
88,20090330,105,5.2,7.6,2.9,-9.0,0.5,4.5
89,20090331,105,4.3,7.6,3.2,-9.0,0.5,11.5
90,20090401,105,4.9,9.1,0.7,-9.0,7.9,2.5
91,20090402,105,9.6,13.6,4.0,-9.0,10.8,-9.0
92,20090403,105,12.5,17.6,8.2,-9.0,5.1,-9.0
93,20090404,105,11.9,16.9,7.2,-9.0,10.9,-9.0
94,20090405,105,12.3,16.4,8.5,-9.0,10.0,-9.0
95,20090406,105,16.0,21.4,11.3,-9.0,11.3,-9.0
96,20090407,105,12.9,16.3,7.7,-9.0,11.0,-9.0
97,20090408,105,12.1,18.0,5.2,-9.0,10.7,-9.0
98,20090409,105,19.4,25.8,9.8,-9.0,11.2,-9.0
99,20090410,105,21.8,28.4,16.6,-9.0,10.1,-9.0
100,20090411,105,13.1,19.6,8.1,-9.0,9.0,-9.0
101,20090412,105,13.9,20.2,6.4,-9.0,5.5,-9.0
102,20090413,105,19.4,24.0,14.7,-9.0,6.0,-9.0
103,20090414,105,9.6,18.9,4.9,-9.0,6.5,0.5
104,20090415,105,11.0,19.4,3.5,-9.0,1.8,9.5
105,20090416,105,7.6,11.1,5.3,-9.0,1.0,4.0
106,20090417,105,13.6,18.2,5.1,-9.0,10.9,-9.0
107,20090418,105,18.1,25.3,11.2,-9.0,11.1,-9.0
108,20090419,105,12.3,16.3,7.8,-9.0,4.9,-9.0
109,20090420,105,11.3,11.9,10.6,-9.0,0.0,29.0
110,20090421,105,13.5,15.9,10.8,-9.0,8.3,-9.0
111,20090422,105,12.4,18.0,8.0,-9.0,10.8,-9.0
112,20090423,105,10.5,14.7,5.7,-9.0,7.3,-9.0
113,20090424,105,10.8,14.6,7.4,-9.0,0.4,2.0
114,20090425,105,8.9,11.4,4.6,-9.0,0.0,7.5
115,20090426,105,9.7,13.9,4.2,-9.0,9.4,1.0
116,20090427,105,12.6,18.9,8.0,-9.0,7.9,-9.0
117,20090428,105,14.6,21.6,9.3,-9.0,11.7,-9.0
118,20090429,105,17.5,23.4,10.9,-9.0,11.8,-9.0
119,20090430,105,20.3,25.2,15.2,-9.0,7.7,-9.0
120,20090501,105,21.3,25.2,17.3,-9.0,10.2,-9.0
121,20090502,105,18.9,22.2,17.4,-9.0,0.8,-9.0
122,20090503,105,21.7,26.8,15.6,-9.0,11.7,-9.0
