,관측일,국내 지점번호,일 평균기온,최고기온,최저기온,일 평균 전운량,일조합,일 강수량
0,20220101,260,-0.7,8.3,-6.0,5.4,8.5,-9.0
1,20220102,260,-0.6,7.9,-8.3,2.4,5.0,-9.0
2,20220103,260,-0.8,7.4,-8.2,2.3,8.9,-9.0
3,20220104,260,1.1,7.1,-6.5,3.2,8.2,-9.0
4,20220105,260,2.2,6.5,0.1,9.9,0.1,0.9
5,20220106,260,2.3,7.2,-3.8,0.1,9.1,-9.0
6,20220107,260,-0.6,9.6,-8.2,0.6,9.0,-9.0
7,20220108,260,0.0,7.9,-8.4,1.9,9.1,-9.0
8,20220109,260,1.2,8.5,-4.5,4.4,5.8,-9.0
9,20220110,260,1.7,10.7,-6.4,5.3,7.9,-9.0
10,20220111,260,-0.7,3.4,-3.0,9.0,4.9,0.5
11,20220112,260,-1.7,1.9,-4.4,6.4,5.6,0.0
12,20220113,260,-2.0,0.4,-6.0,7.1,4.0,0.3
13,20220114,260,-1.1,4.6,-6.3,2.5,8.8,-9.0
14,20220115,260,1.8,9.7,-4.2,3.4,8.0,-9.0
15,20220116,260,1.1,6.1,-3.5,6.1,4.9,-9.0
16,20220117,260,1.0,4.8,-3.9,6.6,5.2,-9.0
17,20220118,260,-0.6,4.6,-5.8,0.0,9.3,-9.0
18,20220119,260,0.1,8.2,-8.7,4.0,8.0,0.0
19,20220120,260,-1.3,5.4,-6.2,0.4,9.2,-9.0
20,20220121,260,-0.6,8.6,-9.5,4.1,7.1,-9.0
21,20220122,260,5.4,12.2,-2.3,7.8,2.4,-9.0
22,20220123,260,7.2,12.9,2.5,8.5,0.4,-9.0
23,20220124,260,4.5,9.8,-3.3,4.9,2.5,-9.0
24,20220125,260,5.3,7.7,3.2,6.5,0.0,0.0
25,20220126,260,4.6,8.7,0.1,4.9,8.1,-9.0
26,20220127,260,3.2,8.1,0.2,6.0,8.2,-9.0
27,20220128,260,1.7,6.6,-0.6,6.0,8.4,-9.0
28,20220129,260,1.2,5.2,-0.7,7.5,7.8,-9.0
29,20220130,260,1.6,6.5,-1.6,3.5,9.3,-9.0
30,20220131,260,0.8,8.0,-5.2,1.4,9.6,-9.0
31,20220201,260,2.0,5.3,-3.0,4.8,6.5,0.2
32,20220202,260,1.7,6.2,-0.8,7.1,6.9,-9.0
33,20220203,260,0.4,6.9,-5.6,4.1,9.0,-9.0
34,20220204,260,0.1,5.3,-7.2,3.3,8.4,0.0
35,20220205,260,-1.4,1.4,-2.8,7.4,4.2,0.0
36,20220206,260,-0.1,4.6,-7.1,3.4,6.7,0.0
37,20220207,260,0.4,3.4,-3.0,8.4,0.8,-9.0
38,20220208,260,2.5,7.8,-5.0,4.8,9.5,-9.0
39,20220209,260,2.6,10.4,-7.1,5.5,6.2,-9.0
40,20220210,260,3.9,9.6,-1.6,2.9,8.7,-9.0
41,20220211,260,3.3,12.7,-5.8,3.6,9.8,-9.0
42,20220212,260,5.2,14.1,-2.3,4.4,9.8,-9.0
43,20220213,260,7.0,13.5,1.4,8.3,3.9,-9.0
44,20220214,260,5.1,12.9,-3.9,2.6,7.4,-9.0
45,20220215,260,0.5,4.1,-3.0,6.0,7.0,-9.0
46,20220216,260,-2.1,1.5,-3.8,7.4,6.2,0.0
47,20220217,260,-3.1,1.6,-7.2,4.4,9.4,-9.0
48,20220218,260,1.1,8.9,-9.2,6.1,9.7,-9.0
49,20220219,260,2.6,7.0,-0.7,9.6,1.6,0.0
50,20220220,260,-1.7,1.8,-4.7,5.4,8.1,0.0
51,20220221,260,0.4,7.4,-8.9,2.9,9.8,0.0
52,20220222,260,0.4,4.5,-4.1,3.9,9.7,-9.0
53,20220223,260,-1.4,3.3,-3.6,4.8,8.3,-9.0
54,20220224,260,-0.1,6.2,-7.7,1.7,10.0,0.0
55,20220225,260,1.5,11.4,-8.5,0.0,10.4,-9.0
56,20220226,260,4.6,13.3,-6.3,2.6,9.6,-9.0
57,20220227,260,5.2,12.8,-2.8,0.0,10.6,-9.0
58,20220228,260,5.0,14.7,-6.6,3.9,5.8,-9.0
59,20220301,260,7.4,14.4,2.3,7.4,4.7,4.8
60,20220302,260,3.3,9.9,-2.6,0.5,10.6,-9.0
61,20220303,260,4.6,14.5,-5.3,0.8,10.2,-9.0
62,20220304,260,8.6,16.2,0.1,5.4,6.6,-9.0
63,20220305,260,5.3,10.4,1.2,0.4,10.0,-9.0
64,20220306,260,3.4,9.9,-2.7,2.8,10.4,-9.0
65,20220307,260,4.5,13.3,-1.3,5.6,7.8,-9.0
66,20220308,260,5.0,15.6,-6.0,0.8,10.6,-9.0
67,20220309,260,6.7,18.9,-3.8,0.0,10.6,-9.0
68,20220310,260,7.6,16.9,-2.6,6.6,6.9,-9.0
69,20220311,260,12.3,17.7,4.9,8.4,0.9,-9.0
70,20220312,260,16.8,22.7,11.7,6.3,8.4,-9.0
71,20220313,260,15.0,17.5,13.3,9.0,0.0,27.4
72,20220314,260,11.5,14.0,6.9,9.0,0.0,0.7
73,20220315,260,9.4,17.9,1.8,3.4,9.6,-9.0
74,20220316,260,11.3,22.4,1.0,2.3,10.4,-9.0
75,20220317,260,11.3,15.0,8.8,9.9,0.0,9.9
76,20220318,260,9.1,11.4,6.8,8.9,0.0,12.4
