,관측일,국내 지점번호,일 평균기온,최고기온,최저기온,일 평균 전운량,일조합,일 강수량
0,20090101,288,-2.3,3.4,-6.8,-9.0,8.4,-9.0
1,20090102,288,-1.8,8.6,-8.3,-9.0,8.5,-9.0
2,20090103,288,-0.6,11.4,-8.5,-9.0,8.5,-9.0
3,20090104,288,-0.4,9.6,-6.8,-9.0,2.6,-9.0
4,20090105,288,0.7,9.5,-6.1,-9.0,8.4,-9.0
5,20090106,288,1.4,9.5,-6.5,-9.0,7.0,-9.0
6,20090107,288,2.3,11.0,-3.2,-9.0,8.3,-9.0
7,20090108,288,0.4,10.0,-5.8,-9.0,6.2,-9.0
8,20090109,288,-0.4,6.1,-6.4,-9.0,7.3,-9.0
9,20090110,288,-1.6,3.6,-6.0,-9.0,8.6,-9.0
10,20090111,288,-2.2,4.1,-10.0,-9.0,6.3,-9.0
11,20090112,288,-1.8,3.8,-7.7,-9.0,8.6,-9.0
12,20090113,288,-2.1,4.8,-7.1,-9.0,8.7,-9.0
13,20090114,288,-3.2,4.1,-9.2,-9.0,5.7,0.0
14,20090115,288,-5.0,4.7,-11.9,-9.0,8.7,-9.0
15,20090116,288,-2.6,7.8,-11.3,-9.0,8.7,-9.0
16,20090117,288,0.5,10.2,-7.8,-9.0,6.8,-9.0
17,20090118,288,2.2,6.7,-2.1,-9.0,0.0,2.0
18,20090119,288,2.1,9.5,-2.8,-9.0,8.7,-9.0
19,20090120,288,3.7,11.1,-1.7,-9.0,5.7,-9.0
20,20090121,288,1.3,6.0,-2.8,-9.0,0.0,0.0
21,20090122,288,0.7,10.1,-4.5,-9.0,3.9,-9.0
22,20090123,288,-1.6,3.9,-7.1,-9.0,3.1,-9.0
23,20090124,288,-4.7,2.6,-12.4,-9.0,8.4,-9.0
24,20090125,288,-2.3,5.2,-9.5,-9.0,7.6,-9.0
25,20090126,288,-1.7,6.9,-8.2,-9.0,5.9,-9.0
26,20090127,288,-2.0,8.1,-9.4,-9.0,8.9,-9.0
27,20090128,288,0.4,13.3,-8.2,-9.0,9.0,-9.0
28,20090129,288,2.2,7.3,-4.4,-9.0,0.0,1.5
29,20090130,288,9.6,11.3,3.6,-9.0,0.0,4.0
30,20090131,288,8.7,11.6,5.6,-9.0,2.8,-9.0
31,20090201,288,5.2,12.2,-2.0,-9.0,7.4,-9.0
32,20090202,288,6.7,14.5,0.3,-9.0,6.3,-9.0
33,20090203,288,7.4,13.4,1.8,-9.0,1.2,-9.0
34,20090204,288,7.4,14.9,-0.3,-9.0,7.2,-9.0
35,20090205,288,7.6,16.9,-0.8,-9.0,7.7,-9.0
36,20090206,288,5.7,15.0,-0.9,-9.0,6.8,-9.0
37,20090207,288,6.1,15.1,-0.8,-9.0,7.2,-9.0
