,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,20220101,108,1.5,1335,2,2.8,819,7,4.5,923,-4.3,2.3,1544,-10.2,710,-14.4,-3.7,-15.4,46.3,31.0,1329,2.1,1.8,1.3,-9.00,1019.8,1030.9,1034.0,247,1027.3,2351,1.4,9.0,9.6,-9.0,10.39,1.82,1200,-9.0,0.3,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.7,6.6,10.1,15.1,17.2
1,20220102,108,2.3,1996,29,4.6,1349,29,8.1,1345,-1.3,3.0,1551,-5.2,2356,-8.8,-0.9,-10.7,57.9,39.0,1754,3.3,1.6,1.1,-9.00,1015.7,1026.7,1028.4,2222,1024.4,502,4.1,5.4,9.6,-9.0,8.52,1.71,1200,0.3,-9.0,4.17,-9.0,-9,-9.0,-9,-9.0,-9,0.5,655,0.5,655,2.7,6.4,10.0,15.0,17.2
2,20220103,108,1.8,1555,25,4.1,1322,27,6.9,1319,-1.9,2.5,1542,-8.0,714,-9.3,-2.3,-14.4,58.3,35.0,1152,3.2,1.6,1.1,-9.00,1015.3,1026.2,1028.5,913,1024.2,2230,4.9,7.8,9.7,-9.0,9.35,1.75,1200,0.0,0.0,4.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.5,6.2,9.8,14.9,17.2
3,20220104,108,2.4,2048,25,4.2,1507,27,6.8,1444,-2.5,1.0,1445,-5.6,2400,-11.8,-1.8,-13.1,51.8,28.0,1606,2.6,2.0,1.4,-9.00,1017.3,1028.3,1029.8,2335,1024.5,2,0.0,9.0,9.7,-9.0,11.30,1.94,1200,0.0,-9.0,0.92,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.5,6.1,9.7,14.8,17.1
4,20220105,108,1.7,1510,5,2.9,1314,5,4.2,843,-2.8,1.9,1518,-7.8,634,-12.5,-2.8,-14.1,47.6,34.0,1402,2.4,1.4,1.0,-9.00,1016.9,1028.0,1029.7,1,1025.9,1539,7.3,1.9,9.7,-9.0,6.12,1.03,1100,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.4,5.9,9.5,14.7,17.1
5,20220106,108,2.3,2000,29,4.6,1419,29,7.8,1417,-2.2,3.3,1604,-5.9,745,-12.3,-2.3,-11.4,47.1,29.0,1414,2.4,2.1,1.5,-9.00,1018.0,1029.0,1030.8,2309,1026.7,155,0.0,9.1,9.7,-9.0,11.22,1.95,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.3,5.8,9.4,14.7,17.1
6,20220107,108,1.5,1317,25,3.0,1608,27,5.2,1402,-1.6,4.5,1525,-5.9,634,-12.0,-2.3,-13.8,47.1,21.0,1528,2.5,2.2,1.6,-9.00,1018.8,1029.8,1032.0,855,1028.2,1534,0.0,9.1,9.7,-9.0,11.12,1.92,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.2,5.7,9.2,14.6,17.0
7,20220108,108,1.7,1456,20,3.5,1632,18,5.4,1534,0.3,3.7,1623,-5.0,729,-5.7,-2.1,-12.0,64.3,49.0,1221,4.2,0.9,0.7,-9.00,1013.5,1024.4,1028.2,1,1021.5,2343,5.9,0.7,9.7,-9.0,3.68,0.80,1100,0.0,0.0,0.17,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.1,5.6,9.1,14.5,17.0
8,20220109,108,1.7,1441,27,2.8,507,29,4.6,507,1.3,5.6,1522,-1.2,2353,-3.5,0.5,-8.6,71.5,46.0,1606,4.8,1.3,0.9,-9.00,1011.7,1022.5,1023.5,1028,1021.1,107,3.1,4.5,9.7,-9.0,7.16,1.56,1300,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.1,5.5,9.0,14.4,17.0
9,20220110,108,2.0,1705,25,3.4,1433,25,7.6,2359,0.5,4.4,1348,-3.4,735,-5.1,-0.9,-9.5,68.3,37.0,1527,4.2,1.6,1.1,-9.00,1009.7,1020.5,1023.5,319,1017.0,2349,7.0,3.9,9.8,-9.0,7.25,1.52,1100,0.9,1.1,3.83,-9.0,-9,-9.0,-9,-9.0,-9,0.9,2355,0.9,2355,2.1,5.4,8.8,14.3,16.9
